State (Emission order)	Genome %	aorta_NRT_TTSminus.bed	aorta_NRT_TTSplus.bed	aorta_RT_TTSminus.bed	aorta_RT_TTSplus.bed	aorta_TTSflankRT.bed
1	0.29338	5.51804	5.86296	3.77133	0.24638	1.18017
2	0.22779	5.60962	7.49859	3.35996	2.05196	2.85751
3	0.26557	8.04932	6.33255	9.26015	0.16244	0.14706
4	0.20537	7.17554	5.32363	11.26307	2.26482	0.00000
5	2.64483	0.81585	0.76017	0.25140	0.37532	0.00000
6	0.33634	9.73313	6.04447	6.37255	4.24759	2.16975
7	2.48302	9.64865	5.32588	10.43474	3.76149	2.63699
8	7.42038	3.39736	3.41235	3.16640	4.30954	2.83423
9	0.09211	10.65973	7.06115	38.91064	11.15268	0.00000
10	0.19518	2.28675	1.69101	4.29508	2.47007	1.02615
11	0.11723	13.08423	8.60465	28.38184	19.43816	0.42710
12	0.62556	1.63604	1.39947	0.81725	1.97014	0.00000
13	0.10808	4.93371	7.52773	8.16551	9.38573	7.31703
14	0.09229	2.17606	3.89671	1.86390	2.98361	2.17014
15	0.37032	2.97730	4.39279	4.22644	3.89006	4.80462
16	0.21286	2.31705	3.03423	0.43100	0.85700	3.52835
17	0.80988	1.93438	2.41537	2.23446	3.19428	4.60162
18	0.37094	2.45926	3.10710	0.49465	1.90466	1.75477
19	0.93450	1.09892	1.79234	1.30669	3.82488	4.23040
20	0.11530	4.90619	3.07455	5.66535	2.21305	2.60558
21	0.55108	0.82377	0.98057	1.57613	2.69359	3.94732
22	0.36924	2.63869	2.77387	2.69338	3.34652	0.52344
23	0.12014	1.27858	1.50434	6.18539	3.45892	0.00000
24	0.55398	0.77033	1.30087	0.00000	0.00000	0.54410
25	80.48463	0.32923	0.46336	0.29442	0.45997	0.69059
Base	100	0.5773533931	0.5777380442	0.0153522422	0.0153451999	0.0140648370
