State (Emission order)	Genome %	colon_sigmoid_NRT_TTSminus.bed	colon_sigmoid_NRT_TTSplus.bed	colon_sigmoid_RT_TTSminus.bed	colon_sigmoid_RT_TTSplus.bed	colon_sigmoid_TTSflankRT.bed
1	0.15730	5.63093	7.01390	3.33314	0.50782	2.35126
2	0.35683	6.21551	7.46313	4.41975	3.90830	3.84284
3	0.35506	8.41553	8.31826	4.99635	1.27863	2.36401
4	0.21695	6.77661	5.19171	6.35296	1.88726	1.32439
5	2.61947	0.67083	0.63980	0.44847	0.56490	0.22578
6	0.66198	7.29642	4.22529	9.70116	5.07874	1.12021
7	3.33873	7.10952	3.89257	9.41693	5.42615	1.25366
8	7.26413	2.75076	2.95373	2.78543	3.64291	2.81624
9	0.23291	9.41268	6.84829	13.41480	6.50245	4.05535
10	0.37763	2.20839	1.87082	3.00173	2.33927	1.05851
11	0.21251	11.35250	7.23791	19.28185	16.41877	2.45986
12	0.83399	1.77323	1.37225	1.63574	1.09436	0.30236
13	0.17730	5.29758	6.43174	8.42879	10.97555	11.08185
14	0.21681	2.20640	2.73986	1.98307	3.40893	3.12847
15	0.58834	2.23274	3.04839	3.51002	5.11118	4.36904
16	0.25983	2.39990	2.89270	0.91351	1.84676	2.70551
17	1.06994	2.08930	2.76924	1.87281	3.67872	4.18316
18	0.29094	1.61065	2.10088	1.65889	2.77217	2.95057
19	0.59351	0.85562	1.43023	0.72268	1.55795	2.11834
20	0.16146	3.71649	2.40129	4.60008	2.41295	0.58600
21	0.74529	0.56915	0.93120	0.67707	0.87066	0.90800
22	0.26211	2.61540	2.67020	1.23814	0.82915	2.09543
23	0.23566	2.95933	3.18848	2.39582	1.86030	2.65768
24	1.00335	1.18800	1.46186	0.78131	0.94021	1.53075
25	77.76796	0.32210	0.45703	0.20179	0.34673	0.68211
Base	100	0.6139741598	0.6139930684	0.0613562924	0.0614046027	0.0740212936
