State (Emission order)	Genome %	left_ventricle_NRT_TTSminus.bed	left_ventricle_NRT_TTSplus.bed	left_ventricle_RT_TTSminus.bed	left_ventricle_RT_TTSplus.bed	left_ventricle_TTSflankRT.bed
1	0.24802	5.38742	6.95978	3.17518	1.13024	1.59260
2	0.34698	5.35895	7.47776	2.96517	2.83874	6.15047
3	0.36297	9.36734	7.79359	8.05448	0.75268	1.96084
4	0.18555	7.79850	5.19779	10.10873	2.35183	1.51576
5	2.67546	0.72992	0.69754	0.69691	0.58809	0.38895
6	0.39630	10.80180	5.55452	14.34548	9.11539	2.78869
7	2.39613	10.91255	5.94228	9.81663	4.69061	1.47954
8	7.52578	3.01315	3.34988	2.77898	3.72709	2.40683
9	0.20689	10.94718	7.91641	25.37814	11.61336	2.13128
10	0.42139	2.89653	2.02296	4.25412	4.92341	1.53808
11	0.16165	16.91849	9.95743	29.22358	21.87127	5.40810
12	0.53786	2.23463	1.61618	2.31640	2.20605	0.46481
13	0.22832	6.11967	8.04755	5.57516	13.71609	16.28554
14	0.12361	2.48168	3.21964	3.15583	2.83689	2.27522
15	0.62503	2.97449	4.14005	5.36609	6.47195	7.60590
16	0.19627	2.31711	2.87391	0.55805	1.10889	3.31969
17	0.80365	2.09985	2.58048	2.65377	5.06643	4.42375
18	0.26430	2.32148	3.27912	5.16500	4.49147	4.98905
19	0.73959	1.03035	1.83883	0.98260	1.70488	3.06736
20	0.12151	3.87035	2.65470	5.86822	1.80473	0.05144
21	0.61849	0.53533	0.79169	0.55606	0.84443	1.45465
22	0.20617	2.84267	3.18720	3.82235	2.89128	1.39826
23	0.16694	1.66329	2.13139	1.37560	5.35496	4.08450
24	0.75150	0.84786	1.16643	1.10622	1.38193	2.07169
25	79.68965	0.25215	0.38915	0.20240	0.33651	0.63346
Base	100	0.3706632334	0.3722048309	0.0192888952	0.0192685781	0.0225354014
