State (Emission order)	Genome %	liver_NRT_TTSminus.bed	liver_NRT_TTSplus.bed	liver_RT_TTSminus.bed	liver_RT_TTSplus.bed	liver_TTSflankRT.bed
1	0.18409	3.74865	4.90031	0.89133	0.00000	0.96928
2	0.48206	3.86369	4.90538	2.10751	1.49504	1.78600
3	0.42476	6.14761	6.31291	2.89057	0.37113	0.00000
4	0.18168	5.16785	3.57984	10.29568	1.87459	3.62624
5	2.50434	0.63956	0.64163	0.74560	0.50525	0.00000
6	0.68580	10.63410	6.58070	5.81791	2.38803	1.43964
7	3.37518	8.41796	5.03147	6.21294	3.76493	1.15266
8	6.46425	2.52867	3.15644	2.18080	3.35870	2.01537
9	0.46029	9.04897	6.92197	6.96140	2.32442	0.56020
10	0.68310	4.09536	2.66880	4.42748	2.66569	0.30198
11	0.25455	17.67830	11.48083	8.07459	3.10009	0.81039
12	0.50533	1.72536	1.38453	1.21134	0.55153	0.00000
13	0.47230	4.36730	5.81918	4.27390	9.73569	8.28529
14	0.41018	1.90336	2.53218	2.12819	2.65696	6.02981
15	0.56324	2.41316	3.33953	2.43380	1.45858	3.78367
16	0.30364	1.64070	1.89548	0.88338	2.17761	2.02872
17	0.84560	1.66193	2.52799	1.12708	0.94341	4.63438
18	0.71320	1.64013	2.06141	3.09073	2.45019	2.07561
19	0.56612	0.74553	1.41274	0.75631	2.24505	1.81641
20	0.20420	1.94981	1.72191	0.00000	0.00000	2.27297
21	1.04325	0.12473	0.30631	0.17065	0.33700	0.85468
22	0.53150	1.40359	1.61879	9.51838	8.23327	6.69928
23	0.24507	1.68933	2.19551	2.72541	1.49894	2.01700
24	1.17483	0.65210	0.98135	0.48997	0.40509	0.07660
25	76.72146	0.23146	0.35701	0.40803	0.53366	0.76464
Base	100	0.5129672864	0.5099681061	0.0118671072	0.0118381281	0.0136558195
