State (Emission order)	Genome %	lung_NRT_TTSminus.bed	lung_NRT_TTSplus.bed	lung_RT_TTSminus.bed	lung_RT_TTSplus.bed	lung_TTSflankRT.bed
1	0.16596	5.13748	6.74525	3.71086	0.09085	1.83235
2	0.30638	5.83956	7.16401	3.32538	2.15477	5.34169
3	0.36361	8.82095	8.66150	6.00411	1.17827	2.62293
4	0.17590	7.35960	5.82684	7.38687	1.86781	1.40061
5	2.59840	0.80183	0.75485	0.67708	0.63925	0.49526
6	0.50729	8.66331	5.20495	15.80069	7.42634	2.19793
7	2.50559	8.43832	4.74888	10.83408	6.06378	1.22419
8	8.62624	2.82399	2.91395	2.95440	3.86626	2.56736
9	0.16759	11.04796	8.37693	19.74389	9.49181	2.25958
10	0.40206	3.23959	2.17247	5.06722	4.09938	0.84410
11	0.24564	13.53808	8.23841	22.50306	16.05115	2.61956
12	0.67720	2.12039	1.75794	2.35130	1.87692	0.91786
13	0.12379	5.89394	7.88323	5.29540	8.75802	15.71959
14	0.14244	3.07981	3.93233	2.90158	4.16938	7.73738
15	0.57460	2.66519	3.53877	3.29083	5.65667	6.76763
16	0.21392	2.25512	2.69584	1.47336	1.19503	2.38084
17	1.11964	2.10324	2.59820	1.67889	4.17859	4.80226
18	0.44600	1.89550	2.33099	1.23905	1.68303	2.79096
19	0.65852	0.81945	1.38663	0.79158	1.38063	1.97027
20	0.12408	4.16802	2.32465	3.40772	2.70368	2.43375
21	0.71342	0.48577	0.71846	0.71785	1.12402	1.13336
22	0.17383	3.39947	2.93078	1.80660	2.31629	1.34343
23	0.21633	2.64694	3.46386	1.87426	2.66837	2.42026
24	0.67032	1.53497	1.89378	0.83760	0.85586	1.52387
25	78.08123	0.29432	0.42322	0.14813	0.28084	0.62763
Base	100	0.5501787623	0.5509545787	0.0466091609	0.0467071899	0.0515961748
