State (Emission order)	Genome %	ovary_NRT_TTSminus.bed	ovary_NRT_TTSplus.bed	ovary_RT_TTSminus.bed	ovary_RT_TTSplus.bed	ovary_TTSflankRT.bed
1	0.27887	4.83176	5.05521	5.64708	0.48389	1.77000
2	0.33612	4.76509	5.63869	5.01506	2.25458	3.00972
3	0.29189	6.45995	5.65718	7.41339	0.97867	0.43723
4	0.18187	6.06695	5.05189	8.88241	1.50105	0.40606
5	2.53648	0.50835	0.48983	0.20912	0.19137	0.01939
6	0.48786	7.10008	4.27590	5.50857	3.84449	0.55882
7	3.40104	8.83911	5.39634	9.18221	5.06817	0.90580
8	7.92180	2.93940	3.11452	3.36544	4.35581	2.59617
9	0.10180	10.12138	6.94638	16.00978	7.29295	0.88164
10	0.29679	1.43631	1.01221	0.57421	0.33856	0.16571
11	0.19837	15.38168	9.65778	15.06626	13.15874	1.53920
12	0.49496	1.38180	1.33758	0.71681	1.12384	0.31978
13	0.09794	5.62188	7.35573	4.59776	3.73758	2.67819
14	0.20581	2.00691	2.92659	1.04709	3.67719	3.92923
15	0.54968	2.37571	3.41396	1.69209	2.54362	2.87201
16	0.20130	1.81467	2.30888	1.19429	1.71111	3.08079
17	0.64561	2.11332	2.94778	1.60569	2.59786	3.97881
18	0.57816	1.40795	2.26888	1.61308	1.82830	1.68284
19	0.80855	0.71224	1.32206	0.62460	1.34213	2.02467
20	0.15155	5.51985	3.46857	14.02286	5.22929	1.90061
21	0.81782	0.79259	1.00074	1.94541	2.42152	2.31243
22	0.28143	2.52582	2.22347	2.46032	1.45991	1.06365
23	0.23852	2.34279	3.18408	0.87616	1.43106	1.62446
24	1.23697	0.92684	1.22445	0.27254	0.32631	1.26778
25	77.65881	0.27659	0.41197	0.22462	0.38401	0.78342
Base	100	0.6388313062	0.6360953324	0.0350636057	0.0350433591	0.0429581090
