State (Emission order)	Genome %	thymus_NRT_TTSminus.bed	thymus_NRT_TTSplus.bed	thymus_RT_TTSminus.bed	thymus_RT_TTSplus.bed	thymus_TTSflankRT.bed
1	0.08399	4.62172	6.21310	10.47329	1.64075	3.09013
2	0.36471	4.82768	5.88207	8.16311	3.32594	3.78110
3	0.48021	7.55514	7.49973	12.18984	2.34854	3.44261
4	0.21768	5.55502	4.51415	8.90491	4.81729	2.50983
5	2.27476	0.52538	0.55624	0.48206	0.88416	0.62831
6	0.84825	6.05117	3.53113	6.62916	4.56829	1.95696
7	4.48430	6.65083	4.09350	6.57699	4.32795	1.46017
8	5.62776	2.47814	3.13932	2.06239	3.60062	2.97418
9	0.22774	9.44864	7.71574	25.10500	15.43622	7.04793
10	0.30955	2.99605	2.09718	4.28822	2.13252	1.06874
11	0.28530	12.32987	7.98307	18.44873	13.57391	3.62980
12	0.86001	1.76626	1.52168	2.30190	1.70684	0.58507
13	0.10225	4.89761	6.37180	10.51034	19.40249	14.17052
14	0.20387	2.93075	3.93930	4.58531	6.26913	8.41950
15	0.40749	2.04140	3.08501	3.41349	5.96726	8.19587
16	0.26198	2.55211	2.99830	1.93147	2.07959	2.73791
17	1.38448	1.84326	2.65842	1.66061	3.40699	4.97918
18	0.09333	1.31917	2.32375	1.36571	3.14847	4.52138
19	0.38146	0.88227	1.39968	0.55961	1.69429	1.07081
20	0.19964	4.00035	2.49313	8.16978	2.25723	3.71581
21	1.00649	0.90342	1.27555	1.51454	2.77296	1.97451
22	0.10626	3.64787	2.89550	3.88347	7.83541	4.39112
23	0.28989	3.11239	3.22699	2.26542	0.74012	2.03324
24	1.28740	1.23998	1.50375	0.91895	0.90107	1.07272
25	78.21121	0.31447	0.42938	0.18270	0.30757	0.59070
Base	100	0.6432698648	0.6429558480	0.0360251984	0.0361544248	0.0404555526
