gene_id	dogFPKM	geneFPKM	exp_group	RT	tissue
ENSG00000163631.17	5.66	6144.27	high	RT	liver
ENSG00000118137.10	0.0	3413.672	high	UND	liver
ENSG00000248527.1	0.0	2983.837	high	NRT	liver
ENSG00000158874.11	0.0	2297.46	high	UND	liver
ENSG00000087086.15	0.0	2066.895	high	UND	liver
ENSG00000125730.17	7.63	2000.563	high	RT	liver
ENSG00000257017.9	0.0	1724.285	high	UND	liver
ENSG00000110245.12	1.5	1488.5510000000002	high	RT	liver
ENSG00000197249.14	17.49	1344.49	high	RT	liver
ENSG00000229314.5	3.02	1021.578	high	RT	liver
ENSG00000171560.16	3.05	981.993	high	RT	liver
ENSG00000234906.11	0.0	936.854	high	NRT	liver
ENSG00000109072.14	0.0	859.813	high	NRT	liver
ENSG00000130649.10	0.0	793.7919999999999	high	UND	liver
ENSG00000283842.1	0.0	791.578	high	NRT	liver
ENSG00000125148.7	0.0	746.933	high	UND	liver
ENSG00000130203.10	0.0	716.2639999999999	high	NRT	liver
ENSG00000130208.9	6.76	687.806	high	RT	liver
ENSG00000243649.9	0.0	663.3330000000001	high	UND	liver
ENSG00000262831.1	0.0	654.149	high	UND	liver
ENSG00000156508.19	0.0	626.979	high	NRT	liver
ENSG00000160862.13	0.0	615.0740000000001	high	NRT	liver
ENSG00000171557.17	52.86	614.725	high	RT	liver
ENSG00000169738.8	0.0	581.573	high	UND	liver
ENSG00000269968.1	0.0	581.187	high	UND	liver
ENSG00000245532.9	0.0	574.808	high	NRT	liver
ENSG00000132703.4	9.47	563.331	high	RT	liver
ENSG00000265401.1	0.0	548.97	high	UND	liver
ENSG00000075624.17	0.0	536.07	high	NRT	liver
ENSG00000110169.11	11.274999999999999	533.2819999999999	high	RT	liver
ENSG00000171564.12	3.02	488.751	high	RT	liver
ENSG00000121410.12	0.0	472.644	high	UND	liver
ENSG00000225630.1	0.0	431.366	high	NRT	liver
ENSG00000055955.17	1.9849999999999999	419.4380000000001	high	RT	liver
ENSG00000091513.16	0.0	378.574	high	NRT	liver
ENSG00000172482.5	1.865	370.371	high	RT	liver
ENSG00000138207.14	0.0	364.38	high	UND	liver
ENSG00000151224.13	9.37	359.50199999999995	high	RT	liver
ENSG00000170315.14	10.64	357.60900000000004	high	RT	liver
ENSG00000136872.20	2.29	355.22900000000004	high	RT	liver
ENSG00000273171.1	0.0	347.582	high	NRT	liver
ENSG00000118271.12	38.38	337.86800000000005	high	RT	liver
ENSG00000111640.15	0.0	334.23400000000004	high	UND	liver
ENSG00000120885.22	0.405	332.652	high	RT	liver
ENSG00000240409.1	0.0	332.11	high	NRT	liver
ENSG00000072778.20	0.0	324.907	high	UND	liver
ENSG00000132693.12	31.44	320.902	high	RT	liver
ENSG00000255974.8	0.0	320.10200000000003	high	UND	liver
ENSG00000169136.12	0.0	301.377	high	UND	liver
ENSG00000110651.12	9.75	295.401	high	RT	liver
ENSG00000142089.17	0.0	294.05	high	UND	liver
ENSG00000240801.1	0.0	293.939	high	NRT	liver
ENSG00000277599.1	0.0	288.633	high	NRT	liver
ENSG00000055957.11	17.35	285.185	high	RT	liver
ENSG00000221792.1	0.0	279.141	high	NRT	liver
ENSG00000228278.5	0.0	277.49	high	UND	liver
ENSG00000125144.14	11.49	276.453	high	RT	liver
ENSG00000142541.18	0.0	269.059	high	NRT	liver
ENSG00000133112.17	0.30500000000000005	264.303	high	RT	liver
ENSG00000083807.10	0.0	261.036	high	UND	liver
ENSG00000267458.1	0.0	255.606	high	UND	liver
ENSG00000100316.16	0.44	251.424	high	RT	liver
ENSG00000273149.1	0.0	248.787	high	NRT	liver
ENSG00000124253.11	2.13	247.474	high	RT	liver
ENSG00000163586.10	0.0	246.398	high	NRT	liver
ENSG00000185624.16	0.0	245.386	high	NRT	liver
ENSG00000159335.18	0.0	244.592	high	NRT	liver
ENSG00000174444.15	0.0	240.052	high	NRT	liver
ENSG00000231500.7	0.0	239.269	high	NRT	liver
ENSG00000167526.14	0.0	238.26	high	NRT	liver
