tissue,NRT,RT,UND,ALL,RT%,UND%
adipose-subcutaneous,7994,1849,3904,13747,13.450207317960283,28.39892340146941
adipose-visceral,8227,1836,3962,14025,13.090909090909092,28.249554367201423
artery-aorta,8072,1495,3611,13178,11.344665351343147,27.40173015632114
artery-coronary,8611,1710,3943,14264,11.988222097588334,27.64301738642737
artery-tibial,7431,1651,3515,12597,13.106295149638802,27.90346907993967
brain-cerebellum,7031,2561,4337,13929,18.38610094048388,31.13647785196353
brain-cortex,7203,1874,3786,12863,14.568918603747182,29.433258182383582
breast-mammary-tissue,8535,1939,4183,14657,13.229173773623526,28.539264515248686
colon-sigmoid,8070,1680,3786,13536,12.411347517730496,27.969858156028373
esophagus-gastroesophageal-junction,8059,1628,3747,13434,12.118505285097514,27.891916033943726
esophagus-mucosa,8222,1524,3666,13412,11.362958544586938,27.333730987175663
esophagus-muscularis,7971,1577,3738,13286,11.869637212102965,28.13487881981033
heart-atrial-appendage,7568,1183,3271,12022,9.840292796539678,27.208451172849774
heart-left-ventricle,6484,932,2789,10205,9.132778049975503,27.3297403233709
liver,7055,1222,3084,11361,10.75609541413608,27.14549775547927
lung,8122,2332,4271,14725,15.837011884550083,29.00509337860781
muscle-skeletal,5943,1057,2653,9653,10.949963741841914,27.483683828861494
nerve-tibial,8326,2148,4269,14743,14.569626263311402,28.956114766329783
pituitary,8539,2401,4450,15390,15.601039636127357,28.914879792072774
skin-not-sun-exposed,7743,2209,3952,13904,15.887514384349826,28.423475258918295
skin-sun-exposed,7763,2019,3998,13780,14.65166908563135,29.013062409288825
testis,10135,3082,5291,18508,16.65225848281824,28.587637778258053
thyroid,8574,2208,4372,15154,14.570410452685758,28.850468523162203
