tissue,protein_coding,lncRNA,pseudogenes,small_RNAs,other_genes
adipose-subcutaneous,87.72309356,8.058409951,3.299080584,0.378583018,0.540832883
adipose-visceral,87.8540305,7.298474946,3.594771242,0.163398693,1.089324619
artery-aorta,84.74916388,9.498327759,4.548494983,0.267558528,0.936454849
artery-coronary,84.21052632,9.883040936,4.210526316,0.233918129,1.461988304
artery-tibial,87.46214416,8.358570563,3.089036947,0.121138704,0.969109631
brain-cerebellum,82.81921125,11.05037095,4.68566966,0.429519719,1.015228426
brain-cortex,85.69903949,9.711846318,3.735325507,0.266808965,0.586979723
breast-mammary-tissue,86.95203713,8.251676122,3.919546158,0.257864879,0.618875709
colon-sigmoid,85.35714286,9.345238095,4.107142857,0.416666667,0.773809524
esophagus-gastroesophageal-junction,86.3022113,9.213759214,3.501228501,0.245700246,0.737100737
esophagus-mucosa,86.28608924,8.070866142,4.461942257,0.590551181,0.590551181
esophagus-muscularis,85.47875713,9.701965758,3.741280913,0.253646164,0.824350032
heart-atrial-appendage,87.23584108,8.284023669,3.719357566,0.338123415,0.422654269
heart-left-ventricle,89.05579399,6.974248927,3.433476395,0.214592275,0.321888412
liver,83.63338789,9.901800327,5.564648118,0.163666121,0.736497545
lung,87.69296741,7.890222985,3.044596913,0.300171527,1.072041166
muscle-skeletal,88.74172185,7.473982971,2.554399243,0.567644276,0.662251656
nerve-tibial,83.65921788,10.89385475,4.283054004,0.418994413,0.744878957
pituitary,81.84089963,12.28654727,4.664723032,0.458142441,0.74968763
skin-not-sun-exposed,88.77320054,7.469443187,3.033046627,0.407424174,0.316885469
skin-sun-exposed,88.11292719,7.776126795,3.368003962,0.29717682,0.44576523
testis,65.54185594,21.67423751,10.83711875,0.746268657,1.200519143
thyroid,82.65398551,10.6884058,4.846014493,0.407608696,1.403985507
