index,adipose-subcutaneous,adipose-visceral,artery-aorta,artery-coronary,artery-tibial,brain-cerebellum,brain-cortex,breast-mammary-tissue,colon-sigmoid,esophagus-gastroesophageal-junction,esophagus-mucosa,esophagus-muscularis,heart-atrial-appendage,heart-left-ventricle,liver,lung,muscle-skeletal,nerve-tibial,pituitary,skin-not-sun-exposed,skin-sun-exposed,testis,thyroid
adipose-subcutaneous,100.0,79.13943355119825,73.9799331103679,75.02923976608187,76.25681405208964,40.804373291682936,51.22732123799359,77.05002578648788,71.78571428571429,75.85995085995087,65.35433070866141,75.142675967026,78.10650887573965,79.6137339055794,57.774140752864156,61.57804459691252,66.13055818353831,67.6443202979516,51.93669304456476,61.52105024898143,64.5864289252105,32.54380272550292,61.367753623188406
adipose-visceral,78.58301784748512,100.0,74.38127090301003,75.90643274853801,72.25923682616596,39.94533385396329,51.28068303094984,74.72924187725631,72.32142857142857,75.4914004914005,67.91338582677166,74.31832593532023,80.81149619611158,82.61802575107296,61.04746317512275,63.293310463121784,66.13055818353831,64.10614525139665,52.64473136193253,58.306926210955176,60.0297176820208,32.251784555483454,62.00181159420289
artery-aorta,59.81611681990265,60.56644880174292,100.0,74.03508771929825,73.71290127195638,34.01015228426396,44.34364994663821,57.34914904589995,65.83333333333333,68.12039312039312,56.8241469816273,67.66011414077362,72.18934911242604,72.96137339055794,49.09983633387889,50.686106346483704,58.18353831598865,54.329608938547494,44.606413994169095,47.66862833861476,49.62852897473997,28.033744321868916,51.403985507246375
artery-coronary,69.38885884261762,70.69716775599129,84.68227424749163,100.0,77.771047849788,39.515814135103476,49.786552828175026,65.96183599793707,73.45238095238096,77.14987714987716,63.582677165354326,76.41090678503487,79.45900253592562,80.15021459227468,55.56464811783961,58.147512864494,62.72469252601704,62.61638733705773,51.35360266555602,53.553644182888185,55.57206537890045,31.57040882543803,60.68840579710145
artery-tibial,68.0908599242834,64.97821350762527,81.40468227424749,75.08771929824562,100.0,37.875829754002346,47.54535752401281,62.71273852501289,70.29761904761904,73.03439803439802,59.7769028871391,72.92327203551046,75.14792899408283,75.53648068669528,51.47299509001637,54.24528301886793,64.61684011352885,60.19553072625698,48.06330695543524,53.50837483023992,56.6617137196632,29.688513951979235,54.75543478260869
brain-cerebellum,56.51703623580314,55.71895424836602,58.26086956521739,59.1812865497076,58.75227135069655,100.0,78.49519743863394,56.26611655492522,65.23809523809524,63.57493857493858,57.3490813648294,64.04565630944832,60.60862214708369,63.0901287553648,52.12765957446809,52.229845626072034,62.535477767265846,59.63687150837988,63.306955435235324,54.77591670439112,55.8197127290738,39.0655418559377,58.333333333333336
brain-cortex,51.91995673336939,52.34204793028322,55.585284280936456,54.56140350877193,53.96729254996971,57.43850058570871,100.0,51.31511088189789,59.464285714285715,59.21375921375921,54.59317585301837,60.87507926442613,61.11580726965342,67.91845493562232,50.327332242225864,45.19725557461406,59.413434247871336,51.5828677839851,53.81091211995002,46.3558171118153,47.59782070331847,33.322517845554835,50.90579710144928
breast-mammary-tissue,80.80043266630611,78.92156862745098,74.38127090301003,74.79532163742691,73.65233192004845,42.60054666146036,53.09498399146211,100.0,72.85714285714285,76.04422604422605,70.20997375328083,75.142675967026,79.45900253592562,81.3304721030043,61.783960720130935,62.99313893653517,66.22516556291392,67.5512104283054,55.64348188254894,63.28655500226347,66.4190193164933,34.68526930564568,65.21739130434783
colon-sigmoid,65.2244456462953,66.17647058823529,73.9799331103679,72.16374269005847,71.53240460327075,42.79578289730574,53.30843116328708,63.1253223310985,100.0,82.55528255528255,63.51706036745407,84.4007609384908,76.5004226542688,80.25751072961373,55.15548281505729,55.27444253859348,64.52223273415326,62.24394785847301,53.4777176176593,52.965142598460844,54.92818226844973,32.31667748215445,58.83152173913043
esophagus-gastroesophageal-junction,66.79286100594916,66.93899782135077,74.18060200668897,73.45029239766082,72.01695941853423,40.413900819992186,51.440768409818574,63.84734399174833,80.0,100.0,62.92650918635171,87.50792644261256,78.36010143702451,80.79399141630901,54.09165302782324,55.660377358490564,64.52223273415326,61.26629422718808,51.85339441899208,52.965142598460844,54.82912332838039,31.700194678780015,57.971014492753625
