gene_id,dogFPKM,geneFPKM,exp_group,RT,tissue,log2dogFPKM,log2geneFPKM
ENSG00000143632.14,1067.255,13003.284500000002,high,RT,muscle-skeletal,10.059689206168517,13.666588459215369
ENSG00000114854.8,20.495,3145.0235,high,RT,muscle-skeletal,4.357200084860054,11.618855081800609
ENSG00000149925.22,51.4,2805.4595,high,RT,muscle-skeletal,5.683696454306515,11.454021370675962
ENSG00000133112.17,0.385,1877.871,high,RT,muscle-skeletal,-1.3770696490798233,10.874882245389427
ENSG00000111245.17,70.13,1828.908,high,RT,muscle-skeletal,6.131959822898301,10.836766789337547
ENSG00000198125.13,169.82,1080.974,high,RT,muscle-skeletal,7.40786256740339,10.078116107899161
ENSG00000092054.13,6.77,982.0355,high,RT,muscle-skeletal,2.759155833800272,9.93963136782613
ENSG00000130598.16,14.72,912.0415,high,RT,muscle-skeletal,3.8797057662822882,9.8329556616231
ENSG00000101470.10,6.279999999999999,853.2090000000001,high,RT,muscle-skeletal,2.6507645591169022,9.736755373675063
ENSG00000105048.17,4.0,565.913,high,RT,muscle-skeletal,2.0,9.144436468775387
ENSG00000060138.13,20.745,509.6775,high,RT,muscle-skeletal,4.3746917520969255,8.993440855839467
ENSG00000106211.10,29.53,433.4225,high,RT,muscle-skeletal,4.88410945135923,8.759630238905089
ENSG00000170315.14,16.759999999999998,415.985,high,RT,muscle-skeletal,4.066950243924627,8.700387696949326
ENSG00000173641.18,8.62,342.195,high,RT,muscle-skeletal,3.1076878693143732,8.418674869742599
ENSG00000150991.15,13.63,309.1245,high,RT,muscle-skeletal,3.7687136570304847,8.272044190874034
ENSG00000159173.19,1.465,302.72,high,RT,muscle-skeletal,0.5509006646475233,8.24184018356467
ENSG00000082641.16,1.46,301.148,high,RT,muscle-skeletal,0.5459683691052925,8.234328867424958
ENSG00000167526.14,1.26,276.8905,high,RT,muscle-skeletal,0.3334237337251918,8.113171746050885
ENSG00000151729.11,0.6,262.906,high,RT,muscle-skeletal,-0.7369655941662062,8.0384032570691
ENSG00000168530.16,49.6,241.877,high,RT,muscle-skeletal,5.632268215499513,7.918129780243773
