tissue,NRT,RT
adipose-subcutaneous,78.46104314230521,21.538956857694785
adipose-visceral,78.1966698083569,21.803330191643102
artery-aorta,82.62599469496021,17.374005305039788
artery-coronary,82.28589032655577,17.714109673444238
artery-tibial,78.82599580712788,21.17400419287212
brain-cerebellum,71.24272509414584,28.757274905854157
brain-cortex,77.85765636232927,22.14234363767074
breast-mammary-tissue,79.21650717703349,20.783492822966508
colon-sigmoid,81.03505843071787,18.964941569282136
esophagus-gastroesophageal-junction,81.49143432986227,18.50856567013772
esophagus-mucosa,81.34206219312603,18.657937806873978
esophagus-muscularis,82.42692046227057,17.573079537729434
heart-atrial-appendage,84.55696202531645,15.443037974683543
heart-left-ventricle,84.92333901192505,15.076660988074957
liver,82.09240168003055,17.907598319969452
lung,74.74535650089874,25.25464349910126
muscle-skeletal,81.6206428248076,18.379357175192396
nerve-tibial,77.6755596442809,22.324440355719105
pituitary,77.59975816203143,22.400241837968558
skin-not-sun-exposed,74.496,25.503999999999998
skin-sun-exposed,76.68410725964682,23.31589274035317
testis,75.82281613462014,24.177183865379856
thyroid,77.60617760617761,22.393822393822393
