gene_id,dogLength,dogFPKM,geneFPKM,exp_group,RT,tissue
ENSG00000000003.15,1999,0.27,4.096,med,RT,adipose-subcutaneous
ENSG00000000005.6,1999,0.91,1.683,low,RT,adipose-subcutaneous
ENSG00000000971.16,5999,1.87,8.208499999999999,high,RT,adipose-subcutaneous
ENSG00000002586.20,5999,3.72,17.627499999999998,high,RT,adipose-subcutaneous
ENSG00000002834.18,2999,2.36,3.7735,med,RT,adipose-subcutaneous
ENSG00000002919.15,4999,0.37,1.142,low,RT,adipose-subcutaneous
ENSG00000002933.9,14999,2.34,13.725,high,RT,adipose-subcutaneous
ENSG00000003400.15,3499,0.38,1.423,low,RT,adipose-subcutaneous
ENSG00000003402.20,3499,1.16,8.313500000000001,high,RT,adipose-subcutaneous
ENSG00000004399.13,1999,6.87,52.967,high,RT,adipose-subcutaneous
ENSG00000004779.10,2999,0.335,1.8795,low,RT,adipose-subcutaneous
ENSG00000006042.12,5999,0.315,2.126,med,RT,adipose-subcutaneous
ENSG00000007168.14,2499,0.89,18.688,high,RT,adipose-subcutaneous
ENSG00000007314.12,2499,0.71,1.614,low,RT,adipose-subcutaneous
ENSG00000007392.17,3499,1.3849999999999998,9.6635,high,RT,adipose-subcutaneous
ENSG00000007866.22,1999,0.43,1.989,med,RT,adipose-subcutaneous
ENSG00000008282.9,3999,1.18,11.764,high,RT,adipose-subcutaneous
ENSG00000008988.11,2999,0.395,427.9935,high,RT,adipose-subcutaneous
ENSG00000009950.16,3499,2.19,18.1795,high,RT,adipose-subcutaneous
ENSG00000010244.19,28999,0.35,11.049,high,RT,adipose-subcutaneous
ENSG00000010318.21,1999,0.31,1.784,low,RT,adipose-subcutaneous
ENSG00000010319.7,8499,0.51,13.5105,high,RT,adipose-subcutaneous
ENSG00000011422.12,2999,0.28,1.6355,low,RT,adipose-subcutaneous
ENSG00000011454.18,2499,0.93,2.239,med,RT,adipose-subcutaneous
ENSG00000011485.15,2499,0.27,5.907,high,RT,adipose-subcutaneous
ENSG00000011638.11,3999,0.6799999999999999,3.6085,med,RT,adipose-subcutaneous
ENSG00000012817.16,12499,0.95,11.825,high,RT,adipose-subcutaneous
ENSG00000012983.11,1999,0.69,1.88,low,RT,adipose-subcutaneous
ENSG00000013275.8,5999,1.0950000000000002,11.7105,high,RT,adipose-subcutaneous
ENSG00000013288.9,3499,0.26,2.1195,med,RT,adipose-subcutaneous
ENSG00000013392.8,6999,0.295,1.3635000000000002,low,RT,adipose-subcutaneous
ENSG00000013588.9,4499,0.54,1.817,low,RT,adipose-subcutaneous
ENSG00000018189.13,3999,0.54,3.939,med,RT,adipose-subcutaneous
ENSG00000018610.15,1999,0.39,1.382,low,RT,adipose-subcutaneous
ENSG00000018625.15,2499,2.02,7.510999999999999,high,RT,adipose-subcutaneous
ENSG00000020129.16,1999,0.3,2.5620000000000003,med,RT,adipose-subcutaneous
ENSG00000023191.17,2499,2.66,24.3715,high,RT,adipose-subcutaneous
ENSG00000023228.14,2999,0.52,1.2225,low,RT,adipose-subcutaneous
ENSG00000023839.12,17999,1.61,1.6555,low,RT,adipose-subcutaneous
ENSG00000023902.14,1999,0.24,11.7025,high,RT,adipose-subcutaneous
ENSG00000024422.12,1999,6.4350000000000005,15.23,high,RT,adipose-subcutaneous
ENSG00000026103.22,16499,0.38,5.438000000000001,high,RT,adipose-subcutaneous
ENSG00000028137.19,3499,1.22,7.11,high,RT,adipose-subcutaneous
ENSG00000028203.18,5499,0.26,2.5295,med,RT,adipose-subcutaneous
ENSG00000029363.17,2499,0.295,8.913,high,RT,adipose-subcutaneous
ENSG00000033178.13,1999,0.265,1.25,low,RT,adipose-subcutaneous
ENSG00000035862.12,2999,5.87,54.024,high,RT,adipose-subcutaneous
ENSG00000037637.11,5999,0.305,3.9365,med,RT,adipose-subcutaneous
ENSG00000038427.16,6499,0.88,3.399,med,RT,adipose-subcutaneous
ENSG00000039537.14,2999,0.33,1.932,low,RT,adipose-subcutaneous
ENSG00000040487.13,5999,0.38,1.258,low,RT,adipose-subcutaneous
ENSG00000041880.15,2499,0.565,5.2575,med,RT,adipose-subcutaneous
ENSG00000042493.16,1999,0.67,4.6025,med,RT,adipose-subcutaneous
ENSG00000043514.17,1999,1.02,2.0015,med,RT,adipose-subcutaneous
ENSG00000043591.6,2499,0.405,1.81,low,RT,adipose-subcutaneous
ENSG00000044115.21,10499,0.715,50.831,high,RT,adipose-subcutaneous
ENSG00000047617.15,2499,0.26,1.721,low,RT,adipose-subcutaneous
ENSG00000048140.18,2999,0.48,1.953,low,RT,adipose-subcutaneous
ENSG00000048405.10,4499,0.78,1.1395,low,RT,adipose-subcutaneous
ENSG00000048544.6,23999,0.6,2.317,med,RT,adipose-subcutaneous
ENSG00000048707.15,3999,0.3,1.1155,low,RT,adipose-subcutaneous
ENSG00000048828.17,11499,0.9,3.3245,med,RT,adipose-subcutaneous
ENSG00000051382.9,1999,0.255,1.114,low,RT,adipose-subcutaneous
ENSG00000053371.13,4499,0.79,3.43,med,RT,adipose-subcutaneous
ENSG00000055130.17,2499,0.39,1.164,low,RT,adipose-subcutaneous
ENSG00000055609.20,4499,0.42,2.6980000000000004,med,RT,adipose-subcutaneous
ENSG00000055917.16,1999,0.59,1.325,low,RT,adipose-subcutaneous
ENSG00000055955.17,3499,0.93,3.3335,med,RT,adipose-subcutaneous
ENSG00000056050.7,1999,0.4,2.6205,med,RT,adipose-subcutaneous
ENSG00000056558.11,4999,0.45,1.6235,low,RT,adipose-subcutaneous
ENSG00000056998.20,3999,2.415,2.2745,med,RT,adipose-subcutaneous
ENSG00000057757.10,2499,1.47,11.1005,high,RT,adipose-subcutaneous
ENSG00000058673.17,1999,0.39,11.144,high,RT,adipose-subcutaneous
ENSG00000059378.13,2999,0.78,4.5405,med,RT,adipose-subcutaneous
ENSG00000059728.11,1999,0.2,5.009,med,RT,adipose-subcutaneous
ENSG00000059758.8,4499,0.25,2.595,med,RT,adipose-subcutaneous
ENSG00000061676.15,3999,0.25,11.341,high,RT,adipose-subcutaneous
ENSG00000062716.13,4499,1.705,29.3645,high,RT,adipose-subcutaneous
ENSG00000063322.15,5999,0.64,4.314,med,RT,adipose-subcutaneous
ENSG00000063660.9,6499,0.64,13.301,high,RT,adipose-subcutaneous
ENSG00000064115.11,3999,0.48,3.864,med,RT,adipose-subcutaneous
ENSG00000064201.16,2999,0.385,1.345,low,RT,adipose-subcutaneous
ENSG00000065135.12,2499,0.21,1.381,low,RT,adipose-subcutaneous
ENSG00000065427.15,3499,0.26,12.286,high,RT,adipose-subcutaneous
ENSG00000065548.18,15499,0.605,9.4785,high,RT,adipose-subcutaneous
ENSG00000065882.16,2499,0.4,3.555,med,RT,adipose-subcutaneous
ENSG00000066056.14,7499,1.1,15.639,high,RT,adipose-subcutaneous
ENSG00000066117.15,2999,0.53,19.314,high,RT,adipose-subcutaneous
ENSG00000066427.24,3499,0.83,1.234,low,RT,adipose-subcutaneous
ENSG00000067365.15,10499,0.38,3.026,med,RT,adipose-subcutaneous
ENSG00000067596.12,1999,0.21,3.724,med,RT,adipose-subcutaneous
ENSG00000067900.8,2499,0.285,10.8005,high,RT,adipose-subcutaneous
ENSG00000068001.14,9999,0.75,23.0195,high,RT,adipose-subcutaneous
ENSG00000068308.14,3999,0.33,4.923500000000001,med,RT,adipose-subcutaneous
ENSG00000068354.16,3499,0.3,1.0425,low,RT,adipose-subcutaneous
ENSG00000068394.11,3999,0.61,1.906,low,RT,adipose-subcutaneous
ENSG00000068878.15,1999,0.28,4.24,med,RT,adipose-subcutaneous
ENSG00000069275.13,2999,0.27,9.021,high,RT,adipose-subcutaneous
ENSG00000069329.18,5999,0.59,3.7925,med,RT,adipose-subcutaneous
ENSG00000069696.7,2499,0.54,1.2665,low,RT,adipose-subcutaneous
ENSG00000069849.11,2499,0.37,14.0255,high,RT,adipose-subcutaneous
ENSG00000069966.19,1999,0.3,1.408,low,RT,adipose-subcutaneous
ENSG00000070423.18,2999,0.64,7.138,high,RT,adipose-subcutaneous
ENSG00000070526.15,3499,0.33,1.7919999999999998,low,RT,adipose-subcutaneous
ENSG00000070614.15,1999,0.27,5.5135,high,RT,adipose-subcutaneous
ENSG00000071205.12,1999,0.48,1.704,low,RT,adipose-subcutaneous
ENSG00000071626.17,2499,0.96,10.216,high,RT,adipose-subcutaneous
ENSG00000071859.15,2999,0.4649999999999999,25.975,high,RT,adipose-subcutaneous
ENSG00000071889.17,3499,0.91,8.91,high,RT,adipose-subcutaneous
ENSG00000072110.15,6999,1.06,28.2195,high,RT,adipose-subcutaneous
ENSG00000072135.13,2499,0.78,19.505000000000003,high,RT,adipose-subcutaneous
ENSG00000072501.19,12999,0.67,3.177,med,RT,adipose-subcutaneous
ENSG00000072694.21,2999,0.32,1.68,low,RT,adipose-subcutaneous
ENSG00000073050.12,3499,0.28,5.0695,med,RT,adipose-subcutaneous
ENSG00000073331.18,3499,0.32,1.323,low,RT,adipose-subcutaneous
ENSG00000073605.18,6999,0.83,4.578,med,RT,adipose-subcutaneous
ENSG00000073614.13,6499,1.1,3.63,med,RT,adipose-subcutaneous
ENSG00000073792.16,8499,0.4649999999999999,1.1575,low,RT,adipose-subcutaneous
ENSG00000073921.18,5999,1.08,14.7355,high,RT,adipose-subcutaneous
ENSG00000074181.9,5499,0.74,31.937,high,RT,adipose-subcutaneous
ENSG00000074266.22,4999,0.32,4.009499999999999,med,RT,adipose-subcutaneous
ENSG00000074416.14,2999,3.995,2.918,med,RT,adipose-subcutaneous
ENSG00000074660.16,10499,0.67,5.2655,med,RT,adipose-subcutaneous
ENSG00000075240.17,3999,0.56,4.2735,med,RT,adipose-subcutaneous
ENSG00000075275.18,2499,0.33,1.285,low,RT,adipose-subcutaneous
ENSG00000075292.19,10499,1.11,6.6495,high,RT,adipose-subcutaneous
ENSG00000075413.19,7999,0.3349999999999999,6.8375,high,RT,adipose-subcutaneous
ENSG00000075426.12,12499,0.655,14.7725,high,RT,adipose-subcutaneous
ENSG00000075618.18,8499,0.87,13.2185,high,RT,adipose-subcutaneous
ENSG00000075624.17,4999,0.255,1902.5145,high,RT,adipose-subcutaneous
ENSG00000075651.16,9499,0.26,3.2960000000000003,med,RT,adipose-subcutaneous
ENSG00000075711.21,1999,0.3,1.1625,low,RT,adipose-subcutaneous
ENSG00000075826.17,2499,0.63,6.2045,high,RT,adipose-subcutaneous
ENSG00000076321.11,3999,0.39,1.1324999999999998,low,RT,adipose-subcutaneous
ENSG00000076555.15,3999,1.84,16.472,high,RT,adipose-subcutaneous
ENSG00000077238.14,1999,1.19,5.8115,high,RT,adipose-subcutaneous
ENSG00000077254.14,1999,1.39,3.914,med,RT,adipose-subcutaneous
ENSG00000077312.9,1999,1.99,7.2345,high,RT,adipose-subcutaneous
ENSG00000077380.16,15999,0.28,2.627,med,RT,adipose-subcutaneous
ENSG00000077420.16,5499,1.38,1.6075,low,RT,adipose-subcutaneous
ENSG00000077942.19,2999,2.35,15.9545,high,RT,adipose-subcutaneous
ENSG00000078246.17,5999,0.36,6.599,high,RT,adipose-subcutaneous
ENSG00000078674.18,2499,4.275,5.5265,high,RT,adipose-subcutaneous
ENSG00000078808.19,2499,1.06,16.391,high,RT,adipose-subcutaneous
ENSG00000078902.16,9999,0.425,1.681,low,RT,adipose-subcutaneous
ENSG00000079246.16,4999,1.05,17.9735,high,RT,adipose-subcutaneous
ENSG00000079308.19,30999,0.375,38.758,high,RT,adipose-subcutaneous
ENSG00000079459.13,2499,0.5,10.027,high,RT,adipose-subcutaneous
ENSG00000079785.16,2999,0.34,2.385,med,RT,adipose-subcutaneous
ENSG00000079950.14,14999,0.385,1.401,low,RT,adipose-subcutaneous
ENSG00000081154.12,2499,1.31,6.029999999999999,high,RT,adipose-subcutaneous
ENSG00000081237.20,1999,0.35,2.3360000000000003,med,RT,adipose-subcutaneous
ENSG00000081870.12,2999,0.3,1.743,low,RT,adipose-subcutaneous
ENSG00000082146.13,5499,0.385,4.6965,med,RT,adipose-subcutaneous
ENSG00000082213.18,2499,0.24,1.2029999999999998,low,RT,adipose-subcutaneous
ENSG00000082397.18,19239,0.405,7.9535,high,RT,adipose-subcutaneous
ENSG00000082438.18,7999,0.56,5.478,high,RT,adipose-subcutaneous
ENSG00000082516.9,7999,0.33,2.463,med,RT,adipose-subcutaneous
ENSG00000082641.16,4499,0.685,83.31,high,RT,adipose-subcutaneous
ENSG00000083312.18,1999,0.18,4.4815000000000005,med,RT,adipose-subcutaneous
ENSG00000083444.17,1999,1.38,8.986,high,RT,adipose-subcutaneous
ENSG00000083750.13,6499,0.72,2.1835000000000004,med,RT,adipose-subcutaneous
ENSG00000084652.16,1999,0.95,3.4645,med,RT,adipose-subcutaneous
ENSG00000084774.14,2999,0.275,4.9955,med,RT,adipose-subcutaneous
ENSG00000085117.12,3499,0.4,5.5145,high,RT,adipose-subcutaneous
ENSG00000085274.16,2499,0.295,1.3730000000000002,low,RT,adipose-subcutaneous
ENSG00000085491.17,9499,0.4,1.086,low,RT,adipose-subcutaneous
ENSG00000085511.20,1999,0.52,3.752,med,RT,adipose-subcutaneous
ENSG00000085982.14,1999,0.56,2.151,med,RT,adipose-subcutaneous
ENSG00000086015.22,2999,0.6,9.5785,high,RT,adipose-subcutaneous
ENSG00000086589.12,1999,0.59,7.529999999999999,high,RT,adipose-subcutaneous
ENSG00000087008.16,11499,0.92,1.186,low,RT,adipose-subcutaneous
ENSG00000087074.8,3499,1.53,46.1215,high,RT,adipose-subcutaneous
ENSG00000087116.16,5499,1.215,2.507,med,RT,adipose-subcutaneous
ENSG00000087245.13,1999,3.71,427.008,high,RT,adipose-subcutaneous
ENSG00000087266.17,2499,0.4,4.2015,med,RT,adipose-subcutaneous
ENSG00000088280.19,3499,0.85,6.136,high,RT,adipose-subcutaneous
ENSG00000088882.8,3499,1.65,10.813,high,RT,adipose-subcutaneous
ENSG00000088888.18,7499,0.38,2.9535,med,RT,adipose-subcutaneous
ENSG00000089154.11,1999,0.38,4.500500000000001,med,RT,adipose-subcutaneous
ENSG00000089248.7,2499,0.255,10.691,high,RT,adipose-subcutaneous
ENSG00000089280.19,4499,1.72,33.6965,high,RT,adipose-subcutaneous
ENSG00000089327.15,2499,1.5,9.4415,high,RT,adipose-subcutaneous
ENSG00000089335.21,2499,0.42,5.974,high,RT,adipose-subcutaneous
ENSG00000089351.15,1999,0.41,14.906,high,RT,adipose-subcutaneous
ENSG00000089597.18,2499,0.39,33.281,high,RT,adipose-subcutaneous
ENSG00000090006.18,3499,2.88,40.65,high,RT,adipose-subcutaneous
ENSG00000090372.15,1999,1.34,14.977,high,RT,adipose-subcutaneous
ENSG00000090432.7,7999,0.49,2.865,med,RT,adipose-subcutaneous
ENSG00000090470.15,1999,0.415,1.84,low,RT,adipose-subcutaneous
ENSG00000090487.11,3499,1.425,2.658,med,RT,adipose-subcutaneous
ENSG00000090615.15,2499,1.955,1.25,low,RT,adipose-subcutaneous
ENSG00000090661.12,4999,0.97,6.94,high,RT,adipose-subcutaneous
ENSG00000090686.16,3499,0.27,4.0120000000000005,med,RT,adipose-subcutaneous
ENSG00000090989.18,5999,0.7649999999999999,4.4575,med,RT,adipose-subcutaneous
ENSG00000091073.19,4499,0.55,2.303,med,RT,adipose-subcutaneous
ENSG00000091262.16,2999,0.405,1.5305,low,RT,adipose-subcutaneous
ENSG00000091986.16,9499,1.34,41.1985,high,RT,adipose-subcutaneous
ENSG00000092199.18,11056,1.78,59.5055,high,RT,adipose-subcutaneous
ENSG00000092607.15,15999,0.64,1.575,low,RT,adipose-subcutaneous
ENSG00000092931.11,8999,0.51,15.6925,high,RT,adipose-subcutaneous
ENSG00000093072.18,1999,0.31,1.7565,low,RT,adipose-subcutaneous
ENSG00000093183.14,1999,1.02,2.724,med,RT,adipose-subcutaneous
ENSG00000095066.12,4499,0.84,16.8945,high,RT,adipose-subcutaneous
ENSG00000095139.14,2999,0.42,4.015000000000001,med,RT,adipose-subcutaneous
ENSG00000095261.14,5020,0.26,3.0115,med,RT,adipose-subcutaneous
ENSG00000095564.14,3499,1.5299999999999998,2.536,med,RT,adipose-subcutaneous
ENSG00000095970.17,9499,0.84,2.326,med,RT,adipose-subcutaneous
ENSG00000096060.15,4999,2.215,2.499,med,RT,adipose-subcutaneous
ENSG00000096070.19,2499,0.41,1.194,low,RT,adipose-subcutaneous
ENSG00000097007.19,4999,1.345,3.0035,med,RT,adipose-subcutaneous
ENSG00000099246.17,2999,0.54,1.7425000000000002,low,RT,adipose-subcutaneous
ENSG00000099260.11,5499,0.825,13.135,high,RT,adipose-subcutaneous
ENSG00000099282.10,8999,1.72,20.9295,high,RT,adipose-subcutaneous
ENSG00000099385.12,10499,0.52,3.7525,med,RT,adipose-subcutaneous
ENSG00000099940.12,1999,0.755,1.068,low,RT,adipose-subcutaneous
