GeneID,RTproportion,sampleType
ENSG00000053372.5,3.305456354,control
ENSG00000056736.10,7.980181006,control
ENSG00000072756.17,59.15486883,control
ENSG00000078674.18,15.78318004,control
ENSG00000078898.7,3.246523358,control
ENSG00000079246.16,2.563673491,control
ENSG00000089280.19,0.974578654,control
ENSG00000090661.12,10.99881383,control
ENSG00000100416.15,5.309880865,control
ENSG00000100726.15,19.51995715,control
ENSG00000101442.10,21.60217516,control
ENSG00000101447.15,5.788444646,control
ENSG00000101811.14,24.87400971,control
ENSG00000102144.15,0.231206689,control
ENSG00000102384.13,58.13606069,control
ENSG00000104805.16,4.313803701,control
ENSG00000105373.19,8.602858374,control
ENSG00000107175.12,22.73460604,control
ENSG00000108064.11,7.719337508,control
ENSG00000109084.14,7.688982457,control
ENSG00000109181.12,9.933702501,control
ENSG00000111666.11,15.18524696,control
ENSG00000112414.15,3.740397893,control
ENSG00000112679.14,19.30655027,control
ENSG00000112759.19,6.262250349,control
ENSG00000112996.11,27.31052577,control
ENSG00000115368.10,7.264876865,control
ENSG00000119401.11,23.45425572,control
ENSG00000119408.17,82.85244974,control
ENSG00000120942.14,22.99874918,control
ENSG00000122515.15,17.21028782,control
ENSG00000123353.10,5.366129741,control
ENSG00000125445.11,1.678183807,control
ENSG00000130545.16,69.76467439,control
ENSG00000130713.16,13.37845969,control
ENSG00000131002.12,13.83597887,control
ENSG00000132603.15,3.459675056,control
ENSG00000132677.13,5.538755097,control
ENSG00000135912.11,4.562626539,control
ENSG00000135929.9,6.285570295,control
ENSG00000135930.14,11.98568254,control
ENSG00000136807.14,23.26329091,control
ENSG00000136870.10,6.125045101,control
ENSG00000136937.13,4.361145692,control
ENSG00000137054.16,66.44764131,control
ENSG00000137496.18,49.66107213,control
ENSG00000138092.11,11.08670378,control
ENSG00000140534.14,7.124287374,control
ENSG00000140854.13,7.569826036,control
ENSG00000141198.16,13.59319789,control
ENSG00000141401.12,6.731456791,control
ENSG00000141959.17,3.903281972,control
ENSG00000143252.16,53.76962158,control
ENSG00000143653.10,30.90275206,control
ENSG00000144120.13,10.03088255,control
ENSG00000145192.13,0.926377328,control
ENSG00000146205.14,36.10207125,control
ENSG00000149084.13,12.73513391,control
ENSG00000149503.13,21.25389866,control
ENSG00000151532.14,33.01006109,control
ENSG00000151655.19,0.326005729,control
ENSG00000151715.8,14.4998762,control
ENSG00000151806.14,8.031579171,control
ENSG00000154639.19,57.41962824,control
ENSG00000158417.11,2.640992354,control
ENSG00000159202.18,15.37618361,control
ENSG00000160305.18,21.78375398,control
ENSG00000160867.15,3.865725593,control
ENSG00000161021.13,8.236335672,control
ENSG00000163513.19,2.375370475,control
ENSG00000164616.16,8.423137046,control
ENSG00000165443.12,22.5151841,control
ENSG00000167186.11,10.61539311,control
ENSG00000167526.14,0.057182595,control
ENSG00000167625.11,37.42759678,control
ENSG00000168495.13,8.759344992,control
ENSG00000168763.16,8.325317815,control
ENSG00000169174.11,7.819933154,control
ENSG00000170315.14,0.440619452,control
ENSG00000170439.7,12.32994327,control
ENSG00000173207.13,4.277693804,control
ENSG00000176720.6,13.20996565,control
ENSG00000177337.8,22.11637051,control
ENSG00000177602.5,27.70673771,control
ENSG00000178623.12,48.94457276,control
ENSG00000178921.14,15.80156786,control
ENSG00000179832.17,35.60391699,control
ENSG00000183048.12,15.63945519,control
ENSG00000183888.4,28.95362941,control
ENSG00000184988.8,31.59108822,control
ENSG00000185090.15,19.37799837,control
ENSG00000185404.17,48.75788901,control
ENSG00000186230.7,31.8247193,control
ENSG00000188211.9,83.70420815,control
ENSG00000196743.9,29.74307496,control
ENSG00000197713.15,27.62879223,control
ENSG00000198231.13,0.528350318,control
ENSG00000198466.12,31.4675473,control
ENSG00000198498.10,22.5018694,control
ENSG00000198612.11,5.498449508,control
ENSG00000204128.6,6.734989852,control
ENSG00000204335.4,7.493447527,control
ENSG00000224093.5,50.00032734,control
ENSG00000228709.1,15.67530442,control
ENSG00000231587.1,69.56833509,control
ENSG00000235169.11,65.59416216,control
ENSG00000243679.1,54.13319011,control
ENSG00000244300.3,34.52024133,control
ENSG00000250474.2,31.20214627,control
ENSG00000256162.2,5.559537502,control
ENSG00000258867.6,22.49340636,control
ENSG00000260219.2,29.39197054,control
ENSG00000260276.2,10.32957325,control
ENSG00000260404.3,21.65678856,control
ENSG00000260573.4,57.8099289,control
ENSG00000262943.7,27.41561284,control
ENSG00000272606.1,10.6946592,control
ENSG00000279069.1,26.14404217,control
ENSG00000286024.1,20.01881332,control
ENSG00000286403.1,43.30726771,control
ENSG00000287733.1,67.33662301,control
ENSG00000288473.1,16.31497,control
ENSG00000284820.1,5.292791454,control
ENSG00000282826.2,35.81797033,control
ENSG00000272145.1,30.87670864,control
ENSG00000269699.6,2.380717971,control
ENSG00000267056.2,32.22789242,control
ENSG00000260852.1,40.38816312,control
ENSG00000260604.2,40.8291104,control
ENSG00000259803.7,0.99354821,control
ENSG00000255277.3,49.81569618,control
ENSG00000254290.1,24.631538,control
ENSG00000251595.7,34.71642535,control
NA,NA,control
ENSG00000237522.1,29.30420395,control
ENSG00000235381.1,35.64557315,control
ENSG00000233830.2,9.865084634,control
ENSG00000230952.1,77.42304709,control
ENSG00000228474.6,0.597274807,control
ENSG00000223508.5,32.0779978,control
ENSG00000223501.9,9.536633579,control
ENSG00000214796.8,53.00285301,control
ENSG00000214429.3,35.2346665,control
ENSG00000213886.4,14.66674171,control
ENSG00000213380.16,6.603120757,control
ENSG00000204713.11,7.563588767,control
ENSG00000204386.12,1.150007759,control
ENSG00000198833.7,10.28993556,control
ENSG00000198736.12,7.394921098,control
ENSG00000198171.13,9.081272927,control
ENSG00000196584.3,44.83413462,control
ENSG00000196497.17,1.722323871,control
ENSG00000188313.13,11.18151483,control
ENSG00000188002.10,36.61584956,control
ENSG00000187741.15,18.97987736,control
ENSG00000186910.4,11.02731294,control
ENSG00000186806.5,16.34987926,control
ENSG00000183808.11,14.07404446,control
ENSG00000183513.9,9.999748929,control
ENSG00000181924.7,4.387321928,control
ENSG00000181031.16,44.44040478,control
ENSG00000179604.10,10.42487255,control
ENSG00000179409.11,5.13648907,control
ENSG00000178917.17,65.5478568,control
ENSG00000178381.12,20.23411389,control
ENSG00000177830.18,3.338742999,control
ENSG00000173039.19,8.688980709,control
ENSG00000170322.14,22.33830633,control
ENSG00000169100.14,4.332242293,control
ENSG00000167747.15,0.718384891,control
ENSG00000165802.23,2.566078449,control
ENSG00000165282.14,8.156561495,control
ENSG00000164946.20,38.65564494,control
ENSG00000164050.13,6.666066847,control
ENSG00000163507.14,46.86148742,control
ENSG00000163251.4,6.302949447,control
ENSG00000162882.15,52.45052135,control
ENSG00000161944.16,2.059045851,control
ENSG00000160294.11,9.952310799,control
ENSG00000160193.12,60.97686509,control
ENSG00000158874.11,0.024716915,control
ENSG00000158604.15,25.46548207,control
ENSG00000157399.16,14.86964881,control
ENSG00000152291.14,4.674310745,control
ENSG00000150779.12,6.599655356,control
ENSG00000149485.19,4.363520494,control
ENSG00000147813.16,37.90970179,control
ENSG00000147164.12,10.34152262,control
ENSG00000146574.16,37.64038775,control
