chrm	start	end	gene_id	-	strand	tissue	length
chrX	2741309	2746309	ENSG00000002586.20	0	+	thymus	5000
chr17	32381885	32407885	ENSG00000010244.19	0	+	thymus	26000
chr19	39981764	39985264	ENSG00000013275.8	0	+	thymus	3500
chr16	29848039	29851039	ENSG00000013364.19	0	+	thymus	3000
chr5	57264679	57268179	ENSG00000062194.16	0	+	thymus	3500
chr17	59842255	59846255	ENSG00000062716.13	0	+	thymus	4000
chr22	46679790	46683290	ENSG00000075240.17	0	+	thymus	3500
chr1	40423326	40428326	ENSG00000084070.12	0	+	thymus	5000
chr20	3876123	3881623	ENSG00000088888.18	0	+	thymus	5500
chr16	31191605	31196105	ENSG00000089280.19	0	+	thymus	4500
chr19	8262421	8266921	ENSG00000090661.12	0	+	thymus	4500
chr17	76781449	76784449	ENSG00000092931.11	0	+	thymus	3000
chr19	1244825	1248325	ENSG00000099624.8	0	+	thymus	3500
chr19	2478259	2487759	ENSG00000099860.9	0	+	thymus	9500
chr22	39973721	39980221	ENSG00000100351.17	0	+	thymus	6500
chr20	3806121	3809121	ENSG00000101224.18	0	+	thymus	3000
chr15	74803198	74806198	ENSG00000103653.16	0	+	thymus	3000
chr7	76304295	76308795	ENSG00000106211.10	0	+	thymus	4500
chr9	35758585	35767085	ENSG00000107185.10	0	+	thymus	8500
chr12	6731875	6741375	ENSG00000111652.10	0	+	thymus	9500
chr6	36605600	36609100	ENSG00000112081.17	0	+	thymus	3500
chr6	132817564	132821064	ENSG00000112306.8	0	+	thymus	3500
chr3	127680926	127684426	ENSG00000114626.18	0	+	thymus	3500
chr3	50649291	50654291	ENSG00000114738.11	0	+	thymus	5000
chr2	97739862	97748862	ENSG00000115085.14	0	+	thymus	9000
chr2	189475552	189479052	ENSG00000115368.10	0	+	thymus	3500
chr1	111462773	111466773	ENSG00000116459.11	0	+	thymus	4000
chr19	21060050	21063050	ENSG00000118620.13	0	+	thymus	3000
chr2	46630176	46633676	ENSG00000119878.6	0	+	thymus	3500
chr5	138469303	138476861	ENSG00000120738.8	0	+	thymus	7558
chr12	98550351	98555351	ENSG00000120802.14	0	+	thymus	5000
