chrm	start	end	gene_id	-	strand	tissue	length
chrX	2741309	2744809	ENSG00000002586.20	0	+	esophagus	3500
chr2	201176687	201179687	ENSG00000003402.20	0	+	esophagus	3000
chr7	74602605	74605605	ENSG00000006704.11	0	+	esophagus	3000
chr17	32381885	32409385	ENSG00000010244.19	0	+	esophagus	27500
chr12	6238271	6241771	ENSG00000010278.15	0	+	esophagus	3500
chr2	31269451	31275451	ENSG00000013016.16	0	+	esophagus	6000
chr4	1745171	1749171	ENSG00000013810.20	0	+	esophagus	4000
chr3	132368298	132371798	ENSG00000014257.16	0	+	esophagus	3500
chr1	109238182	109242682	ENSG00000031698.13	0	+	esophagus	4500
chr11	129452279	129458279	ENSG00000043039.7	0	+	esophagus	6000
chr1	12512047	12515047	ENSG00000048707.15	0	+	esophagus	3000
chr19	3163749	3170249	ENSG00000060558.4	0	+	esophagus	6500
chr17	59842255	59846755	ENSG00000062716.13	0	+	esophagus	4500
chr19	39400641	39406641	ENSG00000063322.15	0	+	esophagus	6000
chr2	240468076	240471076	ENSG00000063660.9	0	+	esophagus	3000
chr3	120602507	120607507	ENSG00000065518.8	0	+	esophagus	5000
chr3	141926549	141930049	ENSG00000069849.11	0	+	esophagus	3500
chr1	22101360	22110360	ENSG00000070831.17	0	+	esophagus	9000
chr14	103503831	103507831	ENSG00000075413.19	0	+	esophagus	4000
chr2	28417317	28429719	ENSG00000075426.12	0	+	esophagus	12402
chrX	119454478	119459478	ENSG00000077713.19	0	+	esophagus	5000
chr1	201332993	201336493	ENSG00000081277.13	0	+	esophagus	3500
chr11	67586656	67591656	ENSG00000084207.18	0	+	esophagus	5000
chr11	44620358	44625358	ENSG00000085117.12	0	+	esophagus	5000
chr4	68497604	68507104	ENSG00000087128.10	0	+	esophagus	9500
chr19	3123999	3130499	ENSG00000088256.9	0	+	esophagus	6500
chr20	3876123	3883123	ENSG00000088888.18	0	+	esophagus	7000
chr16	31191605	31196105	ENSG00000089280.19	0	+	esophagus	4500
chr19	8262421	8266421	ENSG00000090661.12	0	+	esophagus	4000
chr7	76505995	76510495	ENSG00000091073.19	0	+	esophagus	4500
chr17	76781449	76785949	ENSG00000092931.11	0	+	esophagus	4500
chr6	7586714	7591214	ENSG00000096696.14	0	+	esophagus	4500
chr19	1244825	1248325	ENSG00000099624.8	0	+	esophagus	3500
chr22	37776556	37780556	ENSG00000100106.22	0	+	esophagus	4000
chr22	35347992	35351992	ENSG00000100284.22	0	+	esophagus	4000
chr22	35425431	35430431	ENSG00000100297.16	0	+	esophagus	5000
chr20	63891545	63895045	ENSG00000101150.18	0	+	esophagus	3500
chr13	73077541	73084541	ENSG00000102554.14	0	+	esophagus	7000
chr15	74803198	74811698	ENSG00000103653.16	0	+	esophagus	8500
chr15	40903975	40908475	ENSG00000104142.11	0	+	esophagus	4500
chr19	19060311	19063811	ENSG00000105676.14	0	+	esophagus	3500
chr7	76304295	76312795	ENSG00000106211.10	0	+	esophagus	8500
chr17	40172171	40176671	ENSG00000108349.17	0	+	esophagus	4500
chr11	44084237	44096237	ENSG00000110455.14	0	+	esophagus	12000
chr11	63957319	63963319	ENSG00000110583.13	0	+	esophagus	6000
chr11	2397397	2400397	ENSG00000110651.12	0	+	esophagus	3000
chr12	6391571	6398148	ENSG00000111321.11	0	+	esophagus	6577
chr6	36605600	36612100	ENSG00000112081.17	0	+	esophagus	6500
chr6	132817564	132821064	ENSG00000112306.8	0	+	esophagus	3500
chr6	351355	360855	ENSG00000112679.14	0	+	esophagus	9500
chr3	50649291	50659291	ENSG00000114738.11	0	+	esophagus	10000
chr2	46386697	46389697	ENSG00000116016.14	0	+	esophagus	3000
chr1	46413848	46417348	ENSG00000117480.16	0	+	esophagus	3500
chr19	21060050	21063050	ENSG00000118620.13	0	+	esophagus	3000
chr10	24547848	24551848	ENSG00000120549.18	0	+	esophagus	4000
chr3	122341969	122345469	ENSG00000121552.4	0	+	esophagus	3500
chr13	27256691	27259691	ENSG00000122026.10	0	+	esophagus	3000
chr1	51273447	51278447	ENSG00000123091.5	0	+	esophagus	5000
chr20	38651035	38654035	ENSG00000124143.10	0	+	esophagus	3000
chr20	49096960	49101460	ENSG00000124207.17	0	+	esophagus	4500
chr19	3209575	3212575	ENSG00000125912.11	0	+	esophagus	3000
chr11	65413525	65422525	ENSG00000126391.14	0	+	esophagus	9000
chr19	10692417	10695417	ENSG00000129351.17	0	+	esophagus	3000
chr20	62296213	62301713	ENSG00000130703.17	0	+	esophagus	5500
chr9	130704894	130709894	ENSG00000130713.16	0	+	esophagus	5000
chrY	19606274	19609774	ENSG00000131002.12	0	+	esophagus	3500
chr14	70675366	70679366	ENSG00000133985.3	0	+	esophagus	4000
chr12	13219941	13226441	ENSG00000134531.10	0	+	esophagus	6500
chrX	135033546	135037046	ENSG00000134590.14	0	+	esophagus	3500
chr11	125090516	125094016	ENSG00000134955.12	0	+	esophagus	3500
chr9	75147265	75152265	ENSG00000134996.12	0	+	esophagus	5000
chr9	73170393	73176893	ENSG00000135046.14	0	+	esophagus	6500
chr11	34663288	34669788	ENSG00000135373.13	0	+	esophagus	6500
chr2	218755416	218761916	ENSG00000135912.11	0	+	esophagus	6500
chr13	75859870	75866870	ENSG00000136153.20	0	+	esophagus	7000
chr13	77645263	77653263	ENSG00000136155.17	0	+	esophagus	8000
chr2	113134016	113138016	ENSG00000136689.19	0	+	esophagus	4000
chr2	113008044	113014544	ENSG00000136694.9	0	+	esophagus	6500
chr9	127790792	127796792	ENSG00000136807.14	0	+	esophagus	6000
chr6	37175428	37178928	ENSG00000137193.14	0	+	esophagus	3500
chr11	118121890	118127890	ENSG00000137648.19	0	+	esophagus	6000
chr10	110511533	110530033	ENSG00000138166.6	0	+	esophagus	18500
chr17	40457725	40461725	ENSG00000141753.7	0	+	esophagus	4000
chr19	519654	523154	ENSG00000141933.9	0	+	esophagus	3500
chr19	44800652	44809010	ENSG00000142273.13	0	+	esophagus	8358
chr1	17246007	17268507	ENSG00000142623.11	0	+	esophagus	22500
chr1	23696835	23703335	ENSG00000142676.14	0	+	esophagus	6500
chr1	43623666	43638666	ENSG00000142949.17	0	+	esophagus	15000
chr1	46819413	46841913	ENSG00000142973.14	0	+	esophagus	22500
chr1	112463456	112466456	ENSG00000143079.15	0	+	esophagus	3000
chr2	232344350	232348350	ENSG00000144535.20	0	+	esophagus	4000
chr5	178126081	178129581	ENSG00000145911.6	0	+	esophagus	3500
chr7	139423457	139427957	ENSG00000146963.18	0	+	esophagus	4500
chrX	152973480	152983480	ENSG00000147394.18	0	+	esophagus	10000
chr8	123210079	123215579	ENSG00000147689.16	0	+	esophagus	5500
chr9	128153453	128157453	ENSG00000148346.12	0	+	esophagus	4000
chr11	130210362	130219362	ENSG00000149418.11	0	+	esophagus	9000
chr11	62153169	62156669	ENSG00000149503.13	0	+	esophagus	3500
chr16	30070457	30075957	ENSG00000149925.22	0	+	esophagus	5500
chr10	119677819	119682319	ENSG00000151929.10	0	+	esophagus	4500
chr18	46266992	46272492	ENSG00000152242.11	0	+	esophagus	5500
chr3	32168709	32171709	ENSG00000152642.11	0	+	esophagus	3000
chr2	95291308	95301308	ENSG00000155066.16	0	+	esophagus	10000
chr6	110967890	110972390	ENSG00000155115.7	0	+	esophagus	4500
chr9	101563344	101566344	ENSG00000155827.12	0	+	esophagus	3000
chr6	38154624	38159624	ENSG00000156639.12	0	+	esophagus	5000
chr8	30572256	30576756	ENSG00000157110.16	0	+	esophagus	4500
chr21	43762307	43768307	ENSG00000160209.19	0	+	esophagus	6000
chr21	46445769	46458269	ENSG00000160299.17	0	+	esophagus	12500
chr21	46570015	46573015	ENSG00000160305.18	0	+	esophagus	3000
chr5	179777283	179788783	ENSG00000161021.13	0	+	esophagus	11500
chr3	184194012	184199512	ENSG00000161204.11	0	+	esophagus	5500
chr16	2899382	2902882	ENSG00000162076.13	0	+	esophagus	3500
chr1	153361023	153367023	ENSG00000163220.11	0	+	esophagus	6000
chr8	81284777	81290277	ENSG00000164687.11	0	+	esophagus	5500
chr16	10483638	10496138	ENSG00000166669.13	0	+	esophagus	12500
chr15	67195173	67198173	ENSG00000166949.17	0	+	esophagus	3000
chr9	128361470	128365470	ENSG00000167114.13	0	+	esophagus	4000
chr15	75212169	75217669	ENSG00000167173.19	0	+	esophagus	5500
chr16	89564542	89568042	ENSG00000167526.14	0	+	esophagus	3500
chr3	39412542	39415542	ENSG00000168028.14	0	+	esophagus	3000
chr11	70207390	70210390	ENSG00000168040.5	0	+	esophagus	3000
chr3	9479240	9483740	ENSG00000168137.18	0	+	esophagus	4500
chr10	72276036	72281036	ENSG00000168209.6	0	+	esophagus	5000
chr5	148828623	148841123	ENSG00000169252.6	0	+	esophagus	12500
chr17	75106162	75109662	ENSG00000170190.16	0	+	esophagus	3500
chr16	67009758	67012758	ENSG00000172824.16	0	+	esophagus	3000
chr11	69367726	69371226	ENSG00000172927.8	0	+	esophagus	3500
chr11	67072017	67076517	ENSG00000173156.7	0	+	esophagus	4500
chr3	137011085	137017585	ENSG00000174564.13	0	+	esophagus	6500
chr12	31993107	32001107	ENSG00000174718.12	0	+	esophagus	8000
chr11	66004149	66011649	ENSG00000175334.8	0	+	esophagus	7500
chr11	73242427	73250927	ENSG00000175591.12	0	+	esophagus	8500
chr17	43401137	43404637	ENSG00000175906.5	0	+	esophagus	3500
chr1	1235041	1239541	ENSG00000176022.7	0	+	esophagus	4500
chr17	81009517	81014517	ENSG00000176108.9	0	+	esophagus	5000
chr2	241574131	241580631	ENSG00000176720.6	0	+	esophagus	6500
chr17	83095122	83107622	ENSG00000176845.13	0	+	esophagus	12500
chr11	727727	730727	ENSG00000177106.16	0	+	esophagus	3000
chr19	47784686	47788186	ENSG00000178980.15	0	+	esophagus	3500
chr1	28539300	28542300	ENSG00000180198.16	0	+	esophagus	3000
chr2	241768816	241772816	ENSG00000180902.18	0	+	esophagus	4000
chr3	153170627	153174627	ENSG00000181467.5	0	+	esophagus	4000
chr11	382117	385117	ENSG00000182272.12	0	+	esophagus	3000
chr14	105480162	105486162	ENSG00000182809.11	0	+	esophagus	6000
chr16	9121635	9131635	ENSG00000182831.12	0	+	esophagus	10000
chr17	81721016	81725016	ENSG00000183048.12	0	+	esophagus	4000
chr1	89388160	89410665	ENSG00000183347.15	0	+	esophagus	22505
chr12	123409353	123413353	ENSG00000183955.13	0	+	esophagus	4000
chr1	224010612	224017112	ENSG00000185495.10	0	+	esophagus	6500
chr8	38060365	38067365	ENSG00000187840.5	0	+	esophagus	7000
chr10	84185294	84188794	ENSG00000188373.5	0	+	esophagus	3500
chr11	13012119	13015119	ENSG00000189431.8	0	+	esophagus	3000
chr1	156177752	156182252	ENSG00000196189.13	0	+	esophagus	4500
chr9	136841187	136844187	ENSG00000196642.19	0	+	esophagus	3000
chr22	46113928	46117928	ENSG00000197182.14	0	+	esophagus	4000
chr8	144811169	144814669	ENSG00000197363.9	0	+	esophagus	3500
chr8	144086216	144089716	ENSG00000197858.11	0	+	esophagus	3500
chr22	49964072	49968572	ENSG00000198355.5	0	+	esophagus	4500
chr11	57819546	57836546	ENSG00000198561.15	0	+	esophagus	17000
chr6	31558829	31564329	ENSG00000204498.11	0	+	esophagus	5500
chr6	30989903	30999403	ENSG00000204544.5	0	+	esophagus	9500
chr16	1702280	1705280	ENSG00000206053.13	0	+	esophagus	3000
chr18	63726432	63729432	ENSG00000206072.13	0	+	esophagus	3000
chr14	104117514	104124014	ENSG00000207568.1	0	+	esophagus	6500
chr1	168253021	168260021	ENSG00000213064.10	0	+	esophagus	7000
chr1	16161883	16170383	ENSG00000224621.1	0	+	esophagus	8500
chr3	195620233	195623733	ENSG00000224769.1	0	+	esophagus	3500
chr1	150518032	150522532	ENSG00000228126.1	0	+	esophagus	4500
chr6	31059890	31072390	ENSG00000228789.8	0	+	esophagus	12500
chr9	136549893	136557893	ENSG00000237886.1	0	+	esophagus	8000
chr7	76516522	76522022	ENSG00000243566.7	0	+	esophagus	5500
chr3	197635811	197643311	ENSG00000249626.1	0	+	esophagus	7500
chr8	142812120	142815120	ENSG00000253715.1	0	+	esophagus	3000
chr19	47275723	47283223	ENSG00000257704.4	0	+	esophagus	7500
chr14	70712153	70715653	ENSG00000258689.1	0	+	esophagus	3500
chr17	2712833	2718333	ENSG00000262050.1	0	+	esophagus	5500
chr16	2859726	2862726	ENSG00000263325.1	0	+	esophagus	3000
chr9	63819654	63824654	ENSG00000266017.1	0	+	esophagus	5000
chr17	45563230	45585730	ENSG00000267198.1	0	+	esophagus	22500
chr19	58397079	58400079	ENSG00000269855.2	0	+	esophagus	3000
chr14	101949425	101952925	ENSG00000271780.1	0	+	esophagus	3500
chr16	54292422	54296422	ENSG00000277559.1	0	+	esophagus	4000
chr17	81863102	81867602	ENSG00000278876.1	0	+	esophagus	4500
chr17	58008187	58011687	ENSG00000279069.1	0	+	esophagus	3500
chr1	161371964	161375464	ENSG00000288670.1	0	+	esophagus	3500
chr2	94188805	94195805	ENSG00000286156.1	0	-	esophagus	7000
chr10	84162727	84167227	ENSG00000285972.1	0	-	esophagus	4500
chrX	3811027	3817527	ENSG00000285756.2	0	-	esophagus	6500
chr17	40470553	40473553	ENSG00000279806.1	0	-	esophagus	3000
chr22	22274927	22283927	ENSG00000274422.1	0	-	esophagus	9000
chr3	46914306	46921725	ENSG00000160799.11	0	-	esophagus	7419
chr20	62380302	62386302	ENSG00000273619.1	0	-	esophagus	6000
chr6	106966830	106969830	ENSG00000272398.6	0	-	esophagus	3000
chr5	72949134	72953634	ENSG00000271926.1	0	-	esophagus	4500
chr20	63855211	63861211	ENSG00000268858.2	0	-	esophagus	6000
chr20	19743389	19756389	ENSG00000268628.2	0	-	esophagus	13000
chr19	15907581	15910581	ENSG00000267056.2	0	-	esophagus	3000
chr18	12032600	12040100	ENSG00000266995.1	0	-	esophagus	7500
chr1	23277306	23281306	ENSG00000261326.4	0	-	esophagus	4000
chr16	30915818	30919318	ENSG00000260852.1	0	-	esophagus	3500
chr16	31448710	31456710	ENSG00000260267.1	0	-	esophagus	8000
chr1	43276876	43281876	ENSG00000253313.6	0	-	esophagus	5000
chr11	12957040	12961540	ENSG00000251381.8	0	-	esophagus	4500
chr19	9675293	9689923	ENSG00000224689.9	0	-	esophagus	14630
chr22	30277116	30285116	ENSG00000239282.8	0	-	esophagus	8000
chr1	150545561	150548561	ENSG00000237781.3	0	-	esophagus	3000
chr1	23703900	23706900	ENSG00000236810.6	0	-	esophagus	3000
chr8	142651959	142657459	ENSG00000234616.9	0	-	esophagus	5500
chr2	95006192	95025192	ENSG00000233850.1	0	-	esophagus	19000
chrX	45800541	45847041	ENSG00000231566.2	0	-	esophagus	46500
chr21	13848459	13909573	ENSG00000215559.8	0	-	esophagus	61114
chr7	157277535	157281535	ENSG00000229660.1	0	-	esophagus	4000
chr20	3883738	3888238	ENSG00000229539.1	0	-	esophagus	4500
chr19	54438806	54444806	ENSG00000226696.6	0	-	esophagus	6000
chr21	36689772	36698772	ENSG00000224269.1	0	-	esophagus	9000
chr19	5547666	5558166	ENSG00000223573.7	0	-	esophagus	10500
chr6	6761914	6794914	ENSG00000219986.2	0	-	esophagus	33000
chr17	45491240	45506740	ENSG00000214425.8	0	-	esophagus	15500
chr10	46542043	46549043	ENSG00000204175.5	0	-	esophagus	7000
chr20	64044581	64047581	ENSG00000203883.7	0	-	esophagus	3000
chr1	207797017	207801517	ENSG00000203709.12	0	-	esophagus	4500
chr16	1935228	1938228	ENSG00000198736.12	0	-	esophagus	3000
chr20	3183349	3190349	ENSG00000198171.13	0	-	esophagus	7000
chr1	151979914	151982914	ENSG00000197747.9	0	-	esophagus	3000
chr8	142745149	142750149	ENSG00000197353.4	0	-	esophagus	5000
chr17	41471188	41500980	ENSG00000171401.15	0	-	esophagus	29792
chr5	177479893	177483393	ENSG00000196923.14	0	-	esophagus	3500
chr1	153550607	153561107	ENSG00000196754.13	0	-	esophagus	10500
chr5	180843110	180847610	ENSG00000196670.14	0	-	esophagus	4500
chr19	9739492	9751992	ENSG00000196605.7	0	-	esophagus	12500
chr12	110368399	110372899	ENSG00000196510.13	0	-	esophagus	4500
chr3	49264595	49268595	ENSG00000188315.8	0	-	esophagus	4000
chr3	146509679	146515179	ENSG00000188313.13	0	-	esophagus	5500
chr17	41577278	41582278	ENSG00000186847.6	0	-	esophagus	5000
chr11	72680568	72685068	ENSG00000186635.15	0	-	esophagus	4500
chr12	110714679	110719679	ENSG00000186298.12	0	-	esophagus	5000
chr12	52509574	52514574	ENSG00000186081.12	0	-	esophagus	5000
chr4	68223152	68226652	ENSG00000185873.8	0	-	esophagus	3500
chr14	68783659	68787659	ENSG00000185650.10	0	-	esophagus	4000
chr14	105205785	105209285	ENSG00000185024.17	0	-	esophagus	3500
chr18	48023171	48026671	ENSG00000184828.10	0	-	esophagus	3500
chr2	33313	38813	ENSG00000184731.6	0	-	esophagus	5500
chr12	6614834	6618834	ENSG00000184574.10	0	-	esophagus	4000
chrX	154007505	154010505	ENSG00000184216.14	0	-	esophagus	3000
chr17	81501412	81509412	ENSG00000184009.13	0	-	esophagus	8000
chr17	81881334	81887834	ENSG00000183684.8	0	-	esophagus	6500
chr1	207015521	207018521	ENSG00000182795.13	0	-	esophagus	3000
chr17	74913082	74916082	ENSG00000182040.9	0	-	esophagus	3000
chr17	82385709	82389209	ENSG00000181396.13	0	-	esophagus	3500
chr17	201888	212388	ENSG00000181031.16	0	-	esophagus	10500
chr6	26111872	26114872	ENSG00000180596.7	0	-	esophagus	3000
chr17	73278123	73283623	ENSG00000179604.10	0	-	esophagus	5500
chr8	143911152	143915152	ENSG00000178209.16	0	-	esophagus	4000
chr16	54280303	54283303	ENSG00000177508.12	0	-	esophagus	3000
chr7	73677917	73680917	ENSG00000176410.8	0	-	esophagus	3000
chr1	201460777	201464277	ENSG00000174307.7	0	-	esophagus	3500
chr17	41745603	41754603	ENSG00000173801.17	0	-	esophagus	9000
chr12	112157187	112160187	ENSG00000173064.13	0	-	esophagus	3000
chr12	53207566	53210566	ENSG00000172819.17	0	-	esophagus	3000
chr17	41508744	41513744	ENSG00000171346.16	0	-	esophagus	5000
chr19	5839887	5842887	ENSG00000171124.13	0	-	esophagus	3000
chr12	52798048	52806548	ENSG00000170477.13	0	-	esophagus	8500
chr7	76323298	76326798	ENSG00000170027.7	0	-	esophagus	3500
chr3	129164326	129167826	ENSG00000169714.17	0	-	esophagus	3500
chr5	148913638	148923638	ENSG00000169247.14	0	-	esophagus	10000
chr5	177313066	177331566	ENSG00000169223.15	0	-	esophagus	18500
chr16	30344772	30350772	ENSG00000169217.9	0	-	esophagus	6000
chr11	64761105	64764605	ENSG00000168066.21	0	-	esophagus	3500
chr19	3953952	3958452	ENSG00000167657.14	0	-	esophagus	4500
chrX	330432	333932	ENSG00000167393.18	0	-	esophagus	3500
chr11	16773296	16777296	ENSG00000166689.16	0	-	esophagus	4000
chr10	73639880	73644880	ENSG00000166317.12	0	-	esophagus	5000
chr13	20182962	20187462	ENSG00000165474.8	0	-	esophagus	4500
chr9	35084187	35088687	ENSG00000165282.14	0	-	esophagus	4500
chr9	33426155	33441155	ENSG00000165272.16	0	-	esophagus	15000
chr9	83965082	83968082	ENSG00000165119.21	0	-	esophagus	3000
chr8	100913022	100916522	ENSG00000164924.18	0	-	esophagus	3500
chr7	1464276	1470276	ENSG00000164880.16	0	-	esophagus	6000
chr3	53220711	53224711	ENSG00000163931.16	0	-	esophagus	4000
chr4	17797654	17800654	ENSG00000163257.11	0	-	esophagus	3000
chr1	22110812	22117312	ENSG00000162552.15	0	-	esophagus	6500
chr16	1908474	1911474	ENSG00000162040.7	0	-	esophagus	3000
chr19	40312035	40319535	ENSG00000160392.13	0	-	esophagus	7500
chr9	133090719	133097719	ENSG00000160271.16	0	-	esophagus	7000
chr4	1162931	1166931	ENSG00000159674.12	0	-	esophagus	4000
chr1	45624303	45627303	ENSG00000159592.11	0	-	esophagus	3000
chr1	153294861	153297861	ENSG00000159527.3	0	-	esophagus	3000
chr1	160985710	160995210	ENSG00000158769.18	0	-	esophagus	9500
chr1	27398229	27404229	ENSG00000158195.11	0	-	esophagus	6000
chr7	1560831	1567331	ENSG00000157778.9	0	-	esophagus	6500
chr10	70133980	70137980	ENSG00000156521.14	0	-	esophagus	4000
chr5	141846089	141853089	ENSG00000156453.14	0	-	esophagus	7000
chr18	9543790	9546790	ENSG00000154845.16	0	-	esophagus	3000
chr16	4603882	4608882	ENSG00000153443.13	0	-	esophagus	5000
chr2	159928005	159932005	ENSG00000153246.13	0	-	esophagus	4000
chr10	72329829	72332829	ENSG00000148719.15	0	-	esophagus	3000
chr9	136424618	136428618	ENSG00000148384.14	0	-	esophagus	4000
chr4	83086047	83090047	ENSG00000145287.11	0	-	esophagus	4000
chr1	153386031	153390031	ENSG00000143546.10	0	-	esophagus	4000
chr1	150642229	150646229	ENSG00000143457.11	0	-	esophagus	4000
chr1	156713890	156721890	ENSG00000143319.17	0	-	esophagus	8000
chr1	67402309	67407809	ENSG00000142864.15	0	-	esophagus	5500
chr1	16120836	16124336	ENSG00000142627.13	0	-	esophagus	3500
chr16	84467854	84476354	ENSG00000140950.16	0	-	esophagus	8500
chr15	89450397	89471397	ENSG00000140519.14	0	-	esophagus	21000
chr4	82346997	82352497	ENSG00000138668.19	0	-	esophagus	5500
chr11	120107785	120111285	ENSG00000137699.17	0	-	esophagus	3500
chr4	15932076	15935576	ENSG00000137440.5	0	-	esophagus	3500
chr9	35692947	35696947	ENSG00000137076.21	0	-	esophagus	4000
chr9	110240309	110243809	ENSG00000136810.13	0	-	esophagus	3500
chr11	128958559	128965059	ENSG00000134909.18	0	-	esophagus	6500
chr15	34081016	34084016	ENSG00000134153.10	0	-	esophagus	3000
chr19	8505677	8509677	ENSG00000133250.14	0	-	esophagus	4000
chr13	45329970	45333470	ENSG00000133112.17	0	-	esophagus	3500
chr17	5029099	5032599	ENSG00000132517.15	0	-	esophagus	3500
chr19	18274693	18279693	ENSG00000130522.6	0	-	esophagus	5000
chr6	27122896	27125896	ENSG00000124635.9	0	-	esophagus	3000
chr19	43456786	43460786	ENSG00000124466.9	0	-	esophagus	4000
chr2	171311404	171317404	ENSG00000123600.20	0	-	esophagus	6000
chr19	14474259	14477759	ENSG00000123159.16	0	-	esophagus	3500
chr12	113811237	113816737	ENSG00000122965.11	0	-	esophagus	5500
chr11	45906662	45909662	ENSG00000121680.16	0	-	esophagus	3000
chr3	113713457	113716457	ENSG00000121579.13	0	-	esophagus	3000
chr10	91624441	91628441	ENSG00000119938.9	0	-	esophagus	4000
chr1	114563556	114567556	ENSG00000116752.6	0	-	esophagus	4000
chr1	35172877	35176377	ENSG00000116560.11	0	-	esophagus	3500
chr2	86493929	86503429	ENSG00000115561.16	0	-	esophagus	9500
chr5	149485481	149492981	ENSG00000113712.19	0	-	esophagus	7500
chr5	138550755	138553755	ENSG00000113013.16	0	-	esophagus	3000
chr12	56660340	56663340	ENSG00000110958.16	0	-	esophagus	3000
chr11	10508672	10511672	ENSG00000110315.7	0	-	esophagus	3000
chr11	47612814	47617314	ENSG00000109919.10	0	-	esophagus	4500
chr10	803913	806913	ENSG00000107929.15	0	-	esophagus	3000
chr19	42381518	42387018	ENSG00000105427.10	0	-	esophagus	5500
chr19	39821849	39825349	ENSG00000105204.14	0	-	esophagus	3500
chr19	38812421	38815421	ENSG00000104823.9	0	-	esophagus	3000
chr8	27278385	27284885	ENSG00000104228.13	0	-	esophagus	6500
chr15	40866713	40872213	ENSG00000104140.7	0	-	esophagus	5500
chr16	23459541	23463541	ENSG00000103365.15	0	-	esophagus	4000
chr16	87826522	87830022	ENSG00000103257.9	0	-	esophagus	3500
chr20	6065844	6074844	ENSG00000101311.16	0	-	esophagus	9000
chr20	50884415	50888915	ENSG00000101126.18	0	-	esophagus	4500
chr14	35393512	35401512	ENSG00000100906.11	0	-	esophagus	8000
chr14	23353402	23356402	ENSG00000100842.13	0	-	esophagus	3000
chr22	41590027	41598027	ENSG00000100418.8	0	-	esophagus	8000
chr22	36277779	36281279	ENSG00000100345.22	0	-	esophagus	3500
chr22	29780608	29788608	ENSG00000100325.15	0	-	esophagus	8000
chr22	29498878	29505878	ENSG00000100296.14	0	-	esophagus	7000
chr22	42155012	42160012	ENSG00000100207.20	0	-	esophagus	5000
chr22	41928736	41938736	ENSG00000100162.15	0	-	esophagus	10000
chr6	35569084	35573584	ENSG00000096060.15	0	-	esophagus	4500
chr9	98194510	98199010	ENSG00000095383.20	0	-	esophagus	4500
chr14	24243113	24249113	ENSG00000092295.12	0	-	esophagus	6000
chr16	74444426	74447426	ENSG00000090863.12	0	-	esophagus	3000
chr4	8358781	8366281	ENSG00000087008.16	0	-	esophagus	7500
chr2	164647623	164653623	ENSG00000082438.18	0	-	esophagus	6000
chr11	1267870	1274370	ENSG00000078902.16	0	-	esophagus	6500
chr3	171597403	171600403	ENSG00000075651.16	0	-	esophagus	3000
chr7	5518908	5526408	ENSG00000075624.17	0	-	esophagus	7500
chr1	8857999	8860999	ENSG00000074800.16	0	-	esophagus	3000
chr19	43540310	43543310	ENSG00000073050.12	0	-	esophagus	3000
chr14	68870127	68874127	ENSG00000072110.15	0	-	esophagus	4000
chr17	76621760	76624760	ENSG00000070526.15	0	-	esophagus	3000
chr3	50313289	50317789	ENSG00000068001.14	0	-	esophagus	4500
chr6	42198806	42206806	ENSG00000048544.6	0	-	esophagus	8000
chr1	16243339	16246839	ENSG00000037637.11	0	-	esophagus	3500
chr3	48595501	48599001	ENSG00000010256.11	0	-	esophagus	3500
