State (Emission order)	Genome %	esophagus_NRT_TTSminus.bed	esophagus_NRT_TTSplus.bed	esophagus_RT_TTSminus.bed	esophagus_RT_TTSplus.bed	esophagus_TTSflankRT.bed
1	0.16255	5.22258	6.52014	3.21092	1.05826	2.68632
2	0.28731	5.44371	7.08682	4.79629	2.62395	4.96644
3	0.42060	9.48798	9.39685	7.32308	1.75578	3.92546
4	0.19964	8.03267	6.65168	8.72810	2.81609	2.01433
5	2.55385	0.76562	0.73320	0.48608	0.55293	0.33764
6	0.50214	10.03126	6.05914	15.18828	7.47176	1.97961
7	2.60408	9.10231	4.95021	9.70215	5.96716	1.10026
8	8.18156	2.83925	3.10179	2.40085	2.88861	1.97560
9	0.16322	14.08512	10.69801	25.63262	12.63013	5.17551
10	0.26961	4.52725	3.61645	6.87380	5.93406	1.90866
11	0.19689	16.36868	9.98285	21.80756	18.74620	4.03685
12	0.56252	2.77929	2.13817	2.60967	1.62824	0.85318
13	0.11620	6.06808	8.49288	7.16985	14.48834	14.58696
14	0.14691	2.97249	4.72912	3.19675	6.69670	6.27451
15	0.35340	2.49735	3.55400	3.08730	4.76306	7.16130
16	0.26428	2.37670	3.52967	3.16651	4.20216	6.52198
17	0.86363	1.97699	2.89473	2.52078	5.57780	5.73262
18	0.18412	2.03024	2.74929	2.01139	2.62864	3.31067
19	0.71612	0.78148	1.26419	0.72235	2.45490	2.10514
20	0.13492	4.34118	2.22724	5.74706	3.29862	1.61676
21	0.88564	0.49227	0.78373	0.54968	1.19649	0.78496
22	0.21521	2.63441	2.96200	4.78300	1.32766	2.24974
23	0.18710	2.16683	3.03490	3.65703	3.93568	4.38633
24	0.48107	1.10057	1.57234	2.29293	1.87557	2.77105
25	79.34743	0.27657	0.40093	0.21839	0.36825	0.69408
Base	100	0.4889994785	0.4896746250	0.0415969707	0.0415927101	0.0516071960
