chrm	start	end	gene_id	-	strand	tissue	length
chrX	2741309	2744809	ENSG00000002586.20	0	+	muscle_psoas	3500
chr7	74602605	74606605	ENSG00000006704.11	0	+	muscle_psoas	4000
chr17	32381885	32385385	ENSG00000010244.19	0	+	muscle_psoas	3500
chr19	39981764	39984764	ENSG00000013275.8	0	+	muscle_psoas	3000
chr4	70808619	70812619	ENSG00000018189.13	0	+	muscle_psoas	4000
chr12	95302799	95308299	ENSG00000028203.18	0	+	muscle_psoas	5500
chr1	19329300	19334300	ENSG00000040487.13	0	+	muscle_psoas	5000
chr19	39400641	39406641	ENSG00000063322.15	0	+	muscle_psoas	6000
chr3	120602507	120614507	ENSG00000065518.8	0	+	muscle_psoas	12000
chr10	58370751	58375251	ENSG00000072401.15	0	+	muscle_psoas	4500
chr18	74160531	74165531	ENSG00000075336.12	0	+	muscle_psoas	5000
chr2	28417317	28433719	ENSG00000075426.12	0	+	muscle_psoas	16402
chr12	109268226	109274226	ENSG00000076555.15	0	+	muscle_psoas	6000
chr1	236764631	236772131	ENSG00000077522.14	0	+	muscle_psoas	7500
chr2	216206303	216211303	ENSG00000079246.16	0	+	muscle_psoas	5000
chr5	31555053	31560553	ENSG00000082213.18	0	+	muscle_psoas	5500
chr19	48876058	48879058	ENSG00000087074.8	0	+	muscle_psoas	3000
chr16	31191605	31196105	ENSG00000089280.19	0	+	muscle_psoas	4500
chr17	76781449	76789949	ENSG00000092931.11	0	+	muscle_psoas	8500
chr22	49890080	49896580	ENSG00000100426.7	0	+	muscle_psoas	6500
chr14	35317493	35325993	ENSG00000100902.11	0	+	muscle_psoas	8500
chrX	76178314	76194814	ENSG00000102390.11	0	+	muscle_psoas	16500
chr8	90053633	90057633	ENSG00000104325.7	0	+	muscle_psoas	4000
chr19	18014102	18018102	ENSG00000105643.10	0	+	muscle_psoas	4000
chr7	107761667	107764667	ENSG00000105879.12	0	+	muscle_psoas	3000
chr7	76304295	76308295	ENSG00000106211.10	0	+	muscle_psoas	4000
chr7	43807342	43810342	ENSG00000106605.11	0	+	muscle_psoas	3000
chr9	35758585	35766585	ENSG00000107185.10	0	+	muscle_psoas	8000
chr10	111013666	111031666	ENSG00000108061.12	0	+	muscle_psoas	18000
chr10	58399220	58403720	ENSG00000108064.11	0	+	muscle_psoas	4500
chr17	67056797	67064297	ENSG00000108878.5	0	+	muscle_psoas	7500
chr4	48426201	48429201	ENSG00000109171.15	0	+	muscle_psoas	3000
chr11	94181968	94184968	ENSG00000110218.9	0	+	muscle_psoas	3000
chr11	2397397	2400397	ENSG00000110651.12	0	+	muscle_psoas	3000
chr12	80709474	80713474	ENSG00000111046.4	0	+	muscle_psoas	4000
chr12	118418033	118429033	ENSG00000111707.12	0	+	muscle_psoas	11000
chr12	104106524	104111024	ENSG00000111727.12	0	+	muscle_psoas	4500
chr6	36111236	36119736	ENSG00000112062.11	0	+	muscle_psoas	8500
chr6	351355	355355	ENSG00000112679.14	0	+	muscle_psoas	4000
chr5	42721878	42728878	ENSG00000112964.14	0	+	muscle_psoas	7000
chr5	44820428	44843092	ENSG00000112996.11	0	+	muscle_psoas	22664
chr3	50649291	50663291	ENSG00000114738.11	0	+	muscle_psoas	14000
chr2	189475552	189479052	ENSG00000115368.10	0	+	muscle_psoas	3500
chr1	179076567	179082067	ENSG00000116199.12	0	+	muscle_psoas	5500
chr1	111462773	111473273	ENSG00000116459.11	0	+	muscle_psoas	10500
chr1	46365152	46369152	ENSG00000117481.10	0	+	muscle_psoas	4000
chr6	108684774	108692774	ENSG00000118689.15	0	+	muscle_psoas	8000
chr9	107332192	107346192	ENSG00000119318.13	0	+	muscle_psoas	14000
chr13	41084006	41087506	ENSG00000120688.9	0	+	muscle_psoas	3500
chr1	11296049	11299549	ENSG00000120942.14	0	+	muscle_psoas	3500
chr5	75601144	75606144	ENSG00000122008.15	0	+	muscle_psoas	5000
chr13	27256691	27260691	ENSG00000122026.10	0	+	muscle_psoas	4000
chr10	86736072	86740072	ENSG00000122367.20	0	+	muscle_psoas	4000
chr7	36301538	36305538	ENSG00000122547.11	0	+	muscle_psoas	4000
chr10	58289586	58305586	ENSG00000122873.12	0	+	muscle_psoas	16000
chr1	50974634	50978134	ENSG00000123080.12	0	+	muscle_psoas	3500
chr1	51273447	51276947	ENSG00000123091.5	0	+	muscle_psoas	3500
chr2	112579818	112583818	ENSG00000125630.16	0	+	muscle_psoas	4000
chr11	65413525	65422525	ENSG00000126391.14	0	+	muscle_psoas	9000
chr19	16328685	16332685	ENSG00000127528.6	0	+	muscle_psoas	4000
chr20	62296213	62301713	ENSG00000130703.17	0	+	muscle_psoas	5500
chr9	130704894	130707894	ENSG00000130713.16	0	+	muscle_psoas	3000
chr13	28678959	28686459	ENSG00000132963.8	0	+	muscle_psoas	7500
chr22	26031045	26035545	ENSG00000133454.16	0	+	muscle_psoas	4500
chr7	149734575	149737575	ENSG00000133619.17	0	+	muscle_psoas	3000
chr10	11764070	11767070	ENSG00000134463.15	0	+	muscle_psoas	3000
chr1	35857890	35863390	ENSG00000134698.11	0	+	muscle_psoas	5500
chr2	218755416	218759916	ENSG00000135912.11	0	+	muscle_psoas	4500
chr2	130347967	130350967	ENSG00000136718.10	0	+	muscle_psoas	3000
chr2	128195677	128199677	ENSG00000136731.13	0	+	muscle_psoas	4000
chr10	17716824	17725324	ENSG00000136738.15	0	+	muscle_psoas	8500
chr9	127790792	127794292	ENSG00000136807.14	0	+	muscle_psoas	3500
chr9	101410660	101415660	ENSG00000136870.10	0	+	muscle_psoas	5000
chr8	54148514	54152014	ENSG00000137547.9	0	+	muscle_psoas	3500
chr10	68212017	68224017	ENSG00000138347.16	0	+	muscle_psoas	12000
chr2	189670831	189676331	ENSG00000138381.10	0	+	muscle_psoas	5500
chr15	72738475	72742475	ENSG00000140463.14	0	+	muscle_psoas	4000
chr17	18068405	18071405	ENSG00000141034.10	0	+	muscle_psoas	3000
chr18	35711834	35718334	ENSG00000141429.13	0	+	muscle_psoas	6500
chr19	519654	523154	ENSG00000141933.9	0	+	muscle_psoas	3500
chr1	179920077	179925077	ENSG00000143337.19	0	+	muscle_psoas	5000
chr2	88186636	88191636	ENSG00000144115.18	0	+	muscle_psoas	5000
chr2	170084131	170097631	ENSG00000144357.18	0	+	muscle_psoas	13500
chr7	156973176	156977676	ENSG00000146909.8	0	+	muscle_psoas	4500
chr11	86345943	86351943	ENSG00000149196.16	0	+	muscle_psoas	6000
chr11	95132645	95137145	ENSG00000149218.5	0	+	muscle_psoas	4500
chr20	18188387	18195387	ENSG00000149474.14	0	+	muscle_psoas	7000
chr16	30070457	30075957	ENSG00000149925.22	0	+	muscle_psoas	5500
chr19	57758148	57761648	ENSG00000152443.13	0	+	muscle_psoas	3500
chr6	70589569	70596069	ENSG00000154079.6	0	+	muscle_psoas	6500
chr6	110967890	110971890	ENSG00000155115.7	0	+	muscle_psoas	4000
chr21	15880069	15885569	ENSG00000155313.15	0	+	muscle_psoas	5500
chr21	37526358	37537858	ENSG00000157540.22	0	+	muscle_psoas	11500
chr21	46445769	46458769	ENSG00000160299.17	0	+	muscle_psoas	13000
chr5	179777283	179785783	ENSG00000161021.13	0	+	muscle_psoas	8500
chr3	184194012	184199512	ENSG00000161204.11	0	+	muscle_psoas	5500
chr19	50490871	50500371	ENSG00000161671.17	0	+	muscle_psoas	9500
chr16	2899382	2902882	ENSG00000162076.13	0	+	muscle_psoas	3500
chr2	167259753	167266253	ENSG00000163092.21	0	+	muscle_psoas	6500
chr3	58324695	58330695	ENSG00000163684.12	0	+	muscle_psoas	6000
chr4	123403760	123407260	ENSG00000164056.11	0	+	muscle_psoas	3500
chr5	95824383	95827383	ENSG00000164292.13	0	+	muscle_psoas	3000
chr5	73583380	73587380	ENSG00000164338.10	0	+	muscle_psoas	4000
chr10	84153568	84163568	ENSG00000165678.21	0	+	muscle_psoas	10000
chr19	29675477	29687477	ENSG00000166289.6	0	+	muscle_psoas	12000
chr9	128361470	128365470	ENSG00000167114.13	0	+	muscle_psoas	4000
chr16	19080095	19086595	ENSG00000167186.11	0	+	muscle_psoas	6500
chr16	89564542	89570542	ENSG00000167526.14	0	+	muscle_psoas	6000
chr19	52418412	52422912	ENSG00000167555.14	0	+	muscle_psoas	4500
chr17	75021261	75025261	ENSG00000167862.10	0	+	muscle_psoas	4000
chr11	70207390	70210890	ENSG00000168040.5	0	+	muscle_psoas	3500
chr4	183512429	183517429	ENSG00000168556.7	0	+	muscle_psoas	5000
chr6	7611967	7619967	ENSG00000168566.13	0	+	muscle_psoas	8000
chr5	34958964	34964464	ENSG00000168724.17	0	+	muscle_psoas	5500
chr2	227357836	227361336	ENSG00000168958.20	0	+	muscle_psoas	3500
chr8	48064708	48067708	ENSG00000169139.12	0	+	muscle_psoas	3000
chr5	148828623	148832123	ENSG00000169252.6	0	+	muscle_psoas	3500
chr5	54456377	54459377	ENSG00000169271.3	0	+	muscle_psoas	3000
chr6	117273565	117276565	ENSG00000170162.14	0	+	muscle_psoas	3000
chr4	143223874	143233874	ENSG00000170185.10	0	+	muscle_psoas	10000
chr17	18806714	18810714	ENSG00000171928.14	0	+	muscle_psoas	4000
chr20	50192668	50197668	ENSG00000172216.6	0	+	muscle_psoas	5000
chr16	66975149	66983149	ENSG00000172828.13	0	+	muscle_psoas	8000
chr1	9985501	9990001	ENSG00000173614.14	0	+	muscle_psoas	4500
chr1	1235041	1238541	ENSG00000176022.7	0	+	muscle_psoas	3500
chr17	83095122	83099122	ENSG00000176845.13	0	+	muscle_psoas	4000
chr16	53329150	53335650	ENSG00000177200.17	0	+	muscle_psoas	6500
chr10	49327492	49337992	ENSG00000177354.12	0	+	muscle_psoas	10500
chr5	54546586	54554586	ENSG00000178996.14	0	+	muscle_psoas	8000
chr16	9121635	9125635	ENSG00000182831.12	0	+	muscle_psoas	4000
chr1	38024820	38027820	ENSG00000183520.12	0	+	muscle_psoas	3000
chr8	143299952	143302952	ENSG00000185730.8	0	+	muscle_psoas	3000
chr8	43131180	43137180	ENSG00000185900.11	0	+	muscle_psoas	6000
chr16	31917357	31923857	ENSG00000185947.15	0	+	muscle_psoas	6500
chr19	32678300	32682800	ENSG00000186326.4	0	+	muscle_psoas	4500
chr3	69968336	69971336	ENSG00000187098.17	0	+	muscle_psoas	3000
chr8	38060365	38068865	ENSG00000187840.5	0	+	muscle_psoas	8500
chr6	28260958	28263958	ENSG00000189134.4	0	+	muscle_psoas	3000
chr12	101686028	101689028	ENSG00000196091.15	0	+	muscle_psoas	3000
chr2	200482264	200487764	ENSG00000196141.14	0	+	muscle_psoas	5500
chr1	207386804	207389804	ENSG00000196352.16	0	+	muscle_psoas	3000
chr7	99534700	99540200	ENSG00000196652.12	0	+	muscle_psoas	5500
chrX	47484823	47488323	ENSG00000196741.5	0	+	muscle_psoas	3500
chr6	27135291	27140291	ENSG00000196787.3	0	+	muscle_psoas	5000
chr6	111028263	111035263	ENSG00000197498.13	0	+	muscle_psoas	7000
chr19	34745378	34749378	ENSG00000197841.15	0	+	muscle_psoas	4000
chr6	28159460	28169460	ENSG00000198315.11	0	+	muscle_psoas	10000
chr12	104350307	104361807	ENSG00000198431.16	0	+	muscle_psoas	11500
chr2	237100474	237106474	ENSG00000198612.11	0	+	muscle_psoas	6000
chr1	201884291	201887791	ENSG00000198700.10	0	+	muscle_psoas	3500
chr17	42993690	42998190	ENSG00000198863.7	0	+	muscle_psoas	4500
chr2	96243353	96247853	ENSG00000204685.7	0	+	muscle_psoas	4500
chr18	7232047	7258547	ENSG00000206422.2	0	+	muscle_psoas	26500
chr2	121767853	121770853	ENSG00000211460.12	0	+	muscle_psoas	3000
chr7	95615132	95620132	ENSG00000231170.7	0	+	muscle_psoas	5000
chr6	7620878	7625378	ENSG00000236512.1	0	+	muscle_psoas	4500
chrX	1399402	1402402	ENSG00000236871.7	0	+	muscle_psoas	3000
chr9	135916126	135922626	ENSG00000238058.2	0	+	muscle_psoas	6500
chr16	29928933	29931933	ENSG00000247735.2	0	+	muscle_psoas	3000
chr19	58457833	58464833	ENSG00000249471.8	0	+	muscle_psoas	7000
chr7	107629550	107635050	ENSG00000250474.2	0	+	muscle_psoas	5500
chr8	123667248	123674248	ENSG00000253286.6	0	+	muscle_psoas	7000
chr8	73984883	73991383	ENSG00000253833.1	0	+	muscle_psoas	6500
chr8	120056201	120059701	ENSG00000254343.2	0	+	muscle_psoas	3500
chr11	86284668	86296668	ENSG00000254783.1	0	+	muscle_psoas	12000
chr2	231052637	231056637	ENSG00000261829.1	0	+	muscle_psoas	4000
chr17	2712833	2717333	ENSG00000262050.1	0	+	muscle_psoas	4500
chr19	58419310	58422810	ENSG00000268543.1	0	+	muscle_psoas	3500
chr4	56388153	56391653	ENSG00000269921.1	0	+	muscle_psoas	3500
chr14	101949425	101954425	ENSG00000271780.1	0	+	muscle_psoas	5000
chr16	3007388	3011388	ENSG00000272079.2	0	+	muscle_psoas	4000
chr10	79827602	79833102	ENSG00000272447.1	0	+	muscle_psoas	5500
chr7	123751166	123755166	ENSG00000272686.1	0	+	muscle_psoas	4000
chr2	86196049	86199049	ENSG00000273080.1	0	+	muscle_psoas	3000
chr1	120355148	120358148	ENSG00000273727.1	0	+	muscle_psoas	3000
chr2	216213519	216220019	ENSG00000279348.1	0	+	muscle_psoas	6500
chr7	135172414	135181914	ENSG00000287733.1	0	+	muscle_psoas	9500
chr1	161371964	161375464	ENSG00000288670.1	0	+	muscle_psoas	3500
