chrm	start	end	gene_id	-	strand	tissue	length
chr1	196747504	196753504	ENSG00000000971.16	0	+	ovary	6000
chrX	2741309	2746309	ENSG00000002586.20	0	+	ovary	5000
chr2	201176687	201179687	ENSG00000003402.20	0	+	ovary	3000
chr17	32945106	32951106	ENSG00000006042.12	0	+	ovary	6000
chr17	32381885	32410885	ENSG00000010244.19	0	+	ovary	29000
chr16	21180616	21184116	ENSG00000011638.11	0	+	ovary	3500
chr19	35347361	35350861	ENSG00000012124.17	0	+	ovary	3500
chr12	95302799	95305799	ENSG00000028203.18	0	+	ovary	3000
chr1	19329300	19334300	ENSG00000040487.13	0	+	ovary	5000
chr5	57264679	57268179	ENSG00000062194.16	0	+	ovary	3500
chr2	186509361	186514361	ENSG00000065548.18	0	+	ovary	5000
chr2	28417317	28426817	ENSG00000075426.12	0	+	ovary	9500
chr2	216206303	216217019	ENSG00000079246.16	0	+	ovary	10716
chr16	55506691	55511191	ENSG00000087245.13	0	+	ovary	4500
chr16	31191605	31197105	ENSG00000089280.19	0	+	ovary	5500
chr19	40629818	40633318	ENSG00000090006.18	0	+	ovary	3500
chr19	8262421	8266421	ENSG00000090661.12	0	+	ovary	4000
chr10	92030325	92033325	ENSG00000095564.14	0	+	ovary	3000
chr22	37776556	37784556	ENSG00000100106.22	0	+	ovary	8000
chrX	76178314	76189314	ENSG00000102390.11	0	+	ovary	11000
chr8	30183639	30198639	ENSG00000104671.8	0	+	ovary	15000
chr19	48923372	48927372	ENSG00000104805.16	0	+	ovary	4000
chr19	35313807	35318807	ENSG00000105695.15	0	+	ovary	5000
chr7	11169623	11172623	ENSG00000106443.17	0	+	ovary	3000
chr7	43807342	43810842	ENSG00000106605.11	0	+	ovary	3500
chr9	35758585	35767085	ENSG00000107185.10	0	+	ovary	8500
chr17	59608345	59611345	ENSG00000108406.10	0	+	ovary	3000
chr4	143474568	143479568	ENSG00000109458.8	0	+	ovary	5000
chr11	44084237	44092237	ENSG00000110455.14	0	+	ovary	8000
chr12	6731875	6738875	ENSG00000111652.10	0	+	ovary	7000
chr12	104106524	104111024	ENSG00000111727.12	0	+	ovary	4500
chr6	36111236	36119736	ENSG00000112062.11	0	+	ovary	8500
chr6	351355	360355	ENSG00000112679.14	0	+	ovary	9000
chr6	75718281	75721281	ENSG00000112701.18	0	+	ovary	3000
chr5	40984643	40990643	ENSG00000112936.19	0	+	ovary	6000
chr5	44820428	44825928	ENSG00000112996.11	0	+	ovary	5500
