chrm	start	end	gene_id	-	strand	tissue	length
chr1	196747504	196753504	ENSG00000000971.16	0	+	aorta	6000
chr17	32381885	32385385	ENSG00000010244.19	0	+	aorta	3500
chr5	83582303	83588303	ENSG00000038427.16	0	+	aorta	6000
chr2	33399509	33403009	ENSG00000049323.16	0	+	aorta	3500
chr16	31191605	31195605	ENSG00000089280.19	0	+	aorta	4000
chr19	2478259	2482259	ENSG00000099860.9	0	+	aorta	4000
chr22	24189106	24192606	ENSG00000099994.11	0	+	aorta	3500
chr22	35347992	35351492	ENSG00000100284.22	0	+	aorta	3500
chr7	76304295	76307295	ENSG00000106211.10	0	+	aorta	3000
chr7	101139247	101142747	ENSG00000106366.9	0	+	aorta	3500
chr6	96616636	96626136	ENSG00000112214.10	0	+	aorta	9500
chr6	351355	356355	ENSG00000112679.14	0	+	aorta	5000
chr6	44234142	44240642	ENSG00000112759.19	0	+	aorta	6500
chr5	141249365	141256365	ENSG00000113248.6	0	+	aorta	7000
chr3	127680926	127684426	ENSG00000114626.18	0	+	aorta	3500
chr1	111462773	111466773	ENSG00000116459.11	0	+	aorta	4000
chr5	138469303	138472303	ENSG00000120738.8	0	+	aorta	3000
chr20	63522206	63525206	ENSG00000125534.10	0	+	aorta	3000
chr9	130704894	130707894	ENSG00000130713.16	0	+	aorta	3000
chr11	12359144	12362144	ENSG00000133816.17	0	+	aorta	3000
chr6	125761269	125765769	ENSG00000135547.9	0	+	aorta	4500
chr17	48866522	48869522	ENSG00000136436.15	0	+	aorta	3000
chr9	127790792	127794292	ENSG00000136807.14	0	+	aorta	3500
chr17	40457725	40463225	ENSG00000141753.7	0	+	aorta	5500
chr1	112463456	112466456	ENSG00000143079.15	0	+	aorta	3000
chr1	179920077	179925077	ENSG00000143337.19	0	+	aorta	5000
chr2	88186636	88189636	ENSG00000144115.18	0	+	aorta	3000
chr7	139423457	139426957	ENSG00000146963.18	0	+	aorta	3500
chr9	95087159	95093159	ENSG00000148120.17	0	+	aorta	6000
chr11	61369509	61373509	ENSG00000149483.12	0	+	aorta	4000
chr1	203309602	203315602	ENSG00000159388.6	0	+	aorta	6000
chr19	46610782	46615282	ENSG00000160014.17	0	+	aorta	4500
chr3	184194012	184197012	ENSG00000161204.11	0	+	aorta	3000
