chrm	start	end	gene_id	-	strand	tissue	length
chr17	32381885	32410885	ENSG00000010244.19	0	+	left_ventricle	29000
chr12	3286564	3296064	ENSG00000011105.14	0	+	left_ventricle	9500
chr1	160143591	160146591	ENSG00000018625.15	0	+	left_ventricle	3000
chr8	2165552	2181552	ENSG00000036448.10	0	+	left_ventricle	16000
chr10	114046904	114051404	ENSG00000043591.6	0	+	left_ventricle	4500
chr3	120602507	120611007	ENSG00000065518.8	0	+	left_ventricle	8500
chr1	43323108	43328608	ENSG00000066056.14	0	+	left_ventricle	5500
chr1	22101360	22104860	ENSG00000070831.17	0	+	left_ventricle	3500
chr22	46679790	46683290	ENSG00000075240.17	0	+	left_ventricle	3500
chr2	28417317	28421817	ENSG00000075426.12	0	+	left_ventricle	4500
chr1	236764631	236769131	ENSG00000077522.14	0	+	left_ventricle	4500
chr8	18027975	18033475	ENSG00000078674.18	0	+	left_ventricle	5500
chr19	48876058	48879058	ENSG00000087074.8	0	+	left_ventricle	3000
chr20	3876123	3883623	ENSG00000088888.18	0	+	left_ventricle	7500
chr16	31191605	31196105	ENSG00000089280.19	0	+	left_ventricle	4500
chr17	76781449	76789949	ENSG00000092931.11	0	+	left_ventricle	8500
chr22	37776556	37780556	ENSG00000100106.22	0	+	left_ventricle	4000
chr22	32113029	32117529	ENSG00000100170.10	0	+	left_ventricle	4500
chr22	35347992	35351992	ENSG00000100284.22	0	+	left_ventricle	4000
chr20	5197887	5216887	ENSG00000101290.14	0	+	left_ventricle	19000
chr8	90053633	90057633	ENSG00000104325.7	0	+	left_ventricle	4000
chr8	141195808	141200308	ENSG00000105339.11	0	+	left_ventricle	4500
chr7	44709066	44717566	ENSG00000105953.15	0	+	left_ventricle	8500
chr9	35758585	35766585	ENSG00000107185.10	0	+	left_ventricle	8000
chr11	2397397	2400397	ENSG00000110651.12	0	+	left_ventricle	3000
chr6	36605600	36610100	ENSG00000112081.17	0	+	left_ventricle	4500
chr6	163578592	163583092	ENSG00000112531.17	0	+	left_ventricle	4500
chr6	44234142	44238642	ENSG00000112759.19	0	+	left_ventricle	4500
chr3	50649291	50663291	ENSG00000114738.11	0	+	left_ventricle	14000
chr2	219641980	219650480	ENSG00000114923.17	0	+	left_ventricle	8500
chr1	111462773	111466773	ENSG00000116459.11	0	+	left_ventricle	4000
chr1	205532793	205536293	ENSG00000117266.16	0	+	left_ventricle	3500
chr13	27256691	27260191	ENSG00000122026.10	0	+	left_ventricle	3500
chr10	86736072	86741072	ENSG00000122367.20	0	+	left_ventricle	5000
chr7	45186302	45203302	ENSG00000122679.8	0	+	left_ventricle	17000
chr10	58289586	58293086	ENSG00000122873.12	0	+	left_ventricle	3500
chr1	51273447	51277447	ENSG00000123091.5	0	+	left_ventricle	4000
chr20	63522206	63525706	ENSG00000125534.10	0	+	left_ventricle	3500
chr19	35658782	35665782	ENSG00000126267.11	0	+	left_ventricle	7000
chr19	16328685	16331685	ENSG00000127528.6	0	+	left_ventricle	3000
chr17	77217101	77223601	ENSG00000129657.16	0	+	left_ventricle	6500
chr9	130704894	130707894	ENSG00000130713.16	0	+	left_ventricle	3000
chrX	153696588	153699588	ENSG00000130821.17	0	+	left_ventricle	3000
chr22	26031045	26047045	ENSG00000133454.16	0	+	left_ventricle	16000
chr6	125761269	125765769	ENSG00000135547.9	0	+	left_ventricle	4500
chr9	127790792	127794292	ENSG00000136807.14	0	+	left_ventricle	3500
chr9	101410660	101416160	ENSG00000136870.10	0	+	left_ventricle	5500
chr17	40457725	40462725	ENSG00000141753.7	0	+	left_ventricle	5000
chr1	23696835	23703335	ENSG00000142676.14	0	+	left_ventricle	6500
chr9	121332843	121335843	ENSG00000148180.21	0	+	left_ventricle	3000
chr16	30070457	30074957	ENSG00000149925.22	0	+	left_ventricle	4500
chr6	110967890	110971390	ENSG00000155115.7	0	+	left_ventricle	3500
chr8	30572256	30576256	ENSG00000157110.16	0	+	left_ventricle	4000
chr3	138405534	138409034	ENSG00000158186.13	0	+	left_ventricle	3500
chr21	46570015	46573015	ENSG00000160305.18	0	+	left_ventricle	3000
chr5	179777283	179789783	ENSG00000161021.13	0	+	left_ventricle	12500
chr3	184194012	184199512	ENSG00000161204.11	0	+	left_ventricle	5500
chr19	50490871	50501871	ENSG00000161671.17	0	+	left_ventricle	11000
chr16	2899382	2902382	ENSG00000162076.13	0	+	left_ventricle	3000
chr1	206734281	206738281	ENSG00000162889.11	0	+	left_ventricle	4000
chr3	57930003	57933003	ENSG00000163681.16	0	+	left_ventricle	3000
chr8	81284777	81288777	ENSG00000164687.11	0	+	left_ventricle	4000
chr11	130476641	130479641	ENSG00000166106.3	0	+	left_ventricle	3000
chr16	19080095	19084095	ENSG00000167186.11	0	+	left_ventricle	4000
chr5	54456377	54459377	ENSG00000169271.3	0	+	left_ventricle	3000
chr1	24844321	24848321	ENSG00000169504.15	0	+	left_ventricle	4000
chr7	123664290	123673790	ENSG00000170807.12	0	+	left_ventricle	9500
chr4	119061247	119068747	ENSG00000172403.11	0	+	left_ventricle	7500
chr11	67072017	67075517	ENSG00000173156.7	0	+	left_ventricle	3500
chr12	110351093	110354093	ENSG00000174437.17	0	+	left_ventricle	3000
chr12	31993107	32000107	ENSG00000174718.12	0	+	left_ventricle	7000
chr17	83095122	83107122	ENSG00000176845.13	0	+	left_ventricle	12000
chr10	49327492	49335992	ENSG00000177354.12	0	+	left_ventricle	8500
chr22	49964072	49967572	ENSG00000198355.5	0	+	left_ventricle	3500
chr1	237833988	237838488	ENSG00000198626.17	0	+	left_ventricle	4500
chr6	29945884	29950384	ENSG00000206503.13	0	+	left_ventricle	4500
chr6	32859851	32865351	ENSG00000240065.8	0	+	left_ventricle	5500
chr3	125958817	125961817	ENSG00000241439.1	0	+	left_ventricle	3000
chr4	52661668	52667168	ENSG00000248866.1	0	+	left_ventricle	5500
chr14	103550406	103554406	ENSG00000252469.1	0	+	left_ventricle	4000
chr17	2712833	2717333	ENSG00000262050.1	0	+	left_ventricle	4500
chr2	10885118	10893118	ENSG00000271952.2	0	+	left_ventricle	8000
chr16	3007388	3010388	ENSG00000272079.2	0	+	left_ventricle	3000
chr3	73627626	73632126	ENSG00000278934.1	0	+	left_ventricle	4500
chr11	315272	318272	ENSG00000288681.1	0	+	left_ventricle	3000
chr9	43106865	43109865	ENSG00000277737.3	0	-	left_ventricle	3000
chr1	120469359	120489859	ENSG00000275131.3	0	-	left_ventricle	20500
chr1	982465	995965	ENSG00000272512.1	0	-	left_ventricle	13500
