chrm	start	end	gene_id	-	strand	tissue	length
chrX	2741309	2746309	ENSG00000002586.20	0	+	lung	5000
chr2	201176687	201179687	ENSG00000003402.20	0	+	lung	3000
chr17	50090481	50094481	ENSG00000005884.18	0	+	lung	4000
chr17	32381885	32410885	ENSG00000010244.19	0	+	lung	29000
chr19	45703989	45708989	ENSG00000011478.13	0	+	lung	5000
chr16	29848039	29851539	ENSG00000013364.19	0	+	lung	3500
chr4	70808619	70813119	ENSG00000018189.13	0	+	lung	4500
chr1	109238182	109241182	ENSG00000031698.13	0	+	lung	3000
chr1	43323108	43329608	ENSG00000066056.14	0	+	lung	6500
chr16	8649654	8652654	ENSG00000067365.15	0	+	lung	3000
chr1	22101360	22107360	ENSG00000070831.17	0	+	lung	6000
chrX	154450654	154453654	ENSG00000071859.15	0	+	lung	3000
chr22	46679790	46683290	ENSG00000075240.17	0	+	lung	3500
chr2	28417317	28421317	ENSG00000075426.12	0	+	lung	4000
chr11	67586656	67590156	ENSG00000084207.18	0	+	lung	3500
chr20	3876123	3880623	ENSG00000088888.18	0	+	lung	4500
chr12	111902222	111912722	ENSG00000089022.14	0	+	lung	10500
chr16	31191605	31196105	ENSG00000089280.19	0	+	lung	4500
chr19	8262421	8266421	ENSG00000090661.12	0	+	lung	4000
chr7	76505995	76510495	ENSG00000091073.19	0	+	lung	4500
chr17	76781449	76785949	ENSG00000092931.11	0	+	lung	4500
chr22	24189106	24193106	ENSG00000099994.11	0	+	lung	4000
chr22	37776556	37781056	ENSG00000100106.22	0	+	lung	4500
chr22	35347992	35351492	ENSG00000100284.22	0	+	lung	3500
chr20	62685785	62690785	ENSG00000101187.16	0	+	lung	5000
chr20	3806121	3809121	ENSG00000101224.18	0	+	lung	3000
chr16	86515422	86519422	ENSG00000103241.7	0	+	lung	4000
chr15	40903975	40908475	ENSG00000104142.11	0	+	lung	4500
chr8	141195808	141203308	ENSG00000105339.11	0	+	lung	7500
chr7	2529177	2534177	ENSG00000106003.13	0	+	lung	5000
chr7	43807342	43810842	ENSG00000106605.11	0	+	lung	3500
chr9	35758585	35771585	ENSG00000107185.10	0	+	lung	13000
chr17	40172171	40175171	ENSG00000108349.17	0	+	lung	3000
chr11	2397397	2400397	ENSG00000110651.12	0	+	lung	3000
chr12	6391571	6404148	ENSG00000111321.11	0	+	lung	12577
chr12	6731875	6742875	ENSG00000111652.10	0	+	lung	11000
chr6	36605600	36612100	ENSG00000112081.17	0	+	lung	6500
chr6	132817564	132821564	ENSG00000112306.8	0	+	lung	4000
chr6	351355	360355	ENSG00000112679.14	0	+	lung	9000
chr5	33468091	33471591	ENSG00000113407.14	0	+	lung	3500
chr5	168472303	168475803	ENSG00000113645.15	0	+	lung	3500
chr3	127680926	127684426	ENSG00000114626.18	0	+	lung	3500
chr3	50649291	50660791	ENSG00000114738.11	0	+	lung	11500
chr3	42537573	42541573	ENSG00000114812.13	0	+	lung	4000
