chrm	start	end	gene_id	-	strand	tissue	length
chr1	19329300	19334300	ENSG00000040487.13	0	+	liver	5000
chr22	46679790	46682790	ENSG00000075240.17	0	+	liver	3000
chr4	73504001	73510501	ENSG00000079557.5	0	+	liver	6500
chr1	196959622	196966622	ENSG00000080910.13	0	+	liver	7000
chr2	27523684	27527684	ENSG00000084734.9	0	+	liver	4000
chr16	31191605	31194605	ENSG00000089280.19	0	+	liver	3000
chr19	8262421	8266421	ENSG00000090661.12	0	+	liver	4000
chrX	139563459	139570459	ENSG00000101981.12	0	+	liver	7000
chrX	76178314	76189314	ENSG00000102390.11	0	+	liver	11000
chr10	58399220	58402220	ENSG00000108064.11	0	+	liver	3000
chr12	6391571	6396071	ENSG00000111321.11	0	+	liver	4500
chr5	44820428	44828428	ENSG00000112996.11	0	+	liver	8000
chr1	111462773	111466773	ENSG00000116459.11	0	+	liver	4000
chr1	70439851	70446351	ENSG00000116761.12	0	+	liver	6500
chr1	209734949	209738949	ENSG00000117594.10	0	+	liver	4000
chr18	31598833	31603333	ENSG00000118271.12	0	+	liver	4500
chr20	57568121	57571121	ENSG00000124253.11	0	+	liver	3000
chrX	47093314	47104814	ENSG00000130988.13	0	+	liver	11500
chr17	42914438	42918938	ENSG00000131482.10	0	+	liver	4500
chr1	159588865	159602865	ENSG00000132703.4	0	+	liver	14000
chr1	196918713	196922213	ENSG00000134365.13	0	+	liver	3500
chr1	197009678	197016178	ENSG00000134389.10	0	+	liver	6500
chr12	21239796	21247796	ENSG00000134538.3	0	+	liver	8000
chr9	127790792	127794292	ENSG00000136807.14	0	+	liver	3500
chr17	40457725	40463725	ENSG00000141753.7	0	+	liver	6000
chr2	119686507	119689507	ENSG00000144120.13	0	+	liver	3000
chr6	110967890	110970890	ENSG00000155115.7	0	+	liver	3000
chr9	101563344	101566344	ENSG00000155827.12	0	+	liver	3000
chr1	56918223	56923723	ENSG00000157131.11	0	+	liver	5500
chr9	134887523	134890523	ENSG00000160339.16	0	+	liver	3000
chr3	184194012	184199512	ENSG00000161204.11	0	+	liver	5500
chr16	19080095	19083595	ENSG00000167186.11	0	+	liver	3500
chr4	143223874	143229874	ENSG00000170185.10	0	+	liver	6000
chr2	240880502	240885002	ENSG00000172482.5	0	+	liver	4500
chr11	67072017	67075517	ENSG00000173156.7	0	+	liver	3500
chr2	241574131	241579131	ENSG00000176720.6	0	+	liver	5000
chr12	49357546	49362046	ENSG00000178401.16	0	+	liver	4500
chr4	89114901	89118401	ENSG00000180346.4	0	+	liver	3500
chr2	241768816	241772316	ENSG00000180902.18	0	+	liver	3500
chr10	12123221	12126221	ENSG00000181192.12	0	+	liver	3000
chr11	76798153	76804653	ENSG00000182704.8	0	+	liver	6500
chr8	119108455	119116455	ENSG00000184374.3	0	+	liver	8000
chr22	30627271	30630771	ENSG00000185339.9	0	+	liver	3500
chr2	231049719	231052719	ENSG00000204128.6	0	+	liver	3000
chr14	103110559	103115059	ENSG00000205436.7	0	+	liver	4500
chr11	1667856	1676356	ENSG00000205866.4	0	+	liver	8500
chr6	29945884	29949384	ENSG00000206503.13	0	+	liver	3500
chr19	44931386	44934386	ENSG00000214855.9	0	+	liver	3000
chr9	114326475	114329475	ENSG00000229314.5	0	+	liver	3000
chr20	40011323	40014823	ENSG00000237767.2	0	+	liver	3500
chr12	9128645	9136145	ENSG00000256937.1	0	+	liver	7500
chr18	31726956	31729956	ENSG00000265158.1	0	+	liver	3000
chr1	235051478	235065478	ENSG00000280587.1	0	-	liver	14000
chr17	35972992	35976492	ENSG00000275152.5	0	-	liver	3500
chr10	133427393	133430393	ENSG00000273327.1	0	-	liver	3000
chr2	95521608	95525108	ENSG00000272913.1	0	-	liver	3500
chr19	15907581	15910581	ENSG00000267056.2	0	-	liver	3000
chr6	11858125	11861625	ENSG00000215124.2	0	-	liver	3500
chr3	146506679	146515179	ENSG00000188313.13	0	-	liver	8500
chr7	1148070	1152070	ENSG00000178381.12	0	-	liver	4000
chr11	63566694	63573194	ENSG00000176485.13	0	-	liver	6500
chr4	154579627	154583127	ENSG00000171560.16	0	-	liver	3500
chr15	52749552	52755052	ENSG00000169856.9	0	-	liver	5500
chr17	29556546	29560546	ENSG00000168792.5	0	-	liver	4000
chr10	52762379	52765379	ENSG00000165471.7	0	-	liver	3000
chr9	35085687	35088687	ENSG00000165282.14	0	-	liver	3000
chr9	83934810	83938310	ENSG00000165118.15	0	-	liver	3500
chr1	19278572	19282572	ENSG00000162482.5	0	-	liver	4000
chr3	197505282	197509782	ENSG00000161267.12	0	-	liver	4500
chr3	126477665	126481165	ENSG00000159650.9	0	-	liver	3500
chr21	33498430	33503930	ENSG00000159131.17	0	-	liver	5500
chr1	160985710	160995210	ENSG00000158769.18	0	-	liver	9500
chr1	25955766	25959766	ENSG00000158006.14	0	-	liver	4000
chrX	2931020	2934520	ENSG00000157399.16	0	-	liver	3500
chr4	69475664	69480164	ENSG00000156096.14	0	-	liver	4500
chr17	69068701	69078701	ENSG00000154262.13	0	-	liver	10000
chr11	18226854	18231354	ENSG00000148965.10	0	-	liver	4500
chr9	101417059	101420559	ENSG00000136872.20	0	-	liver	3500
chr7	47959787	47963287	ENSG00000136273.13	0	-	liver	3500
chr1	159706788	159712288	ENSG00000132693.12	0	-	liver	5500
chr4	182884059	182890059	ENSG00000129187.15	0	-	liver	6000
chrX	101341660	101345660	ENSG00000126953.8	0	-	liver	4000
