chrm	start	end	gene_id	-	strand	tissue	length
chr1	24472976	24476476	ENSG00000001461.17	0	+	colon_sigmoid	3500
chrX	2741309	2746309	ENSG00000002586.20	0	+	colon_sigmoid	5000
chr7	150861504	150865504	ENSG00000002726.21	0	+	colon_sigmoid	4000
chr17	38921770	38924770	ENSG00000002834.18	0	+	colon_sigmoid	3000
chr17	48123601	48129101	ENSG00000002919.15	0	+	colon_sigmoid	5500
chr17	32381885	32409385	ENSG00000010244.19	0	+	colon_sigmoid	27500
chr12	6238271	6241271	ENSG00000010278.15	0	+	colon_sigmoid	3000
chr19	45703989	45707489	ENSG00000011478.13	0	+	colon_sigmoid	3500
chr19	39981764	39984764	ENSG00000013275.8	0	+	colon_sigmoid	3000
chr16	29848039	29852039	ENSG00000013364.19	0	+	colon_sigmoid	4000
chr12	12917937	12923437	ENSG00000013588.9	0	+	colon_sigmoid	5500
chr1	109238182	109242182	ENSG00000031698.13	0	+	colon_sigmoid	4000
chr19	39400641	39406641	ENSG00000063322.15	0	+	colon_sigmoid	6000
chr2	240468076	240471576	ENSG00000063660.9	0	+	colon_sigmoid	3500
chr12	50100707	50103707	ENSG00000066117.15	0	+	colon_sigmoid	3000
chr16	8649654	8654154	ENSG00000067365.15	0	+	colon_sigmoid	4500
chr12	9699553	9703053	ENSG00000069493.15	0	+	colon_sigmoid	3500
chr2	130375405	130378405	ENSG00000072135.13	0	+	colon_sigmoid	3000
chr3	113629575	113632575	ENSG00000072858.11	0	+	colon_sigmoid	3000
chr2	28417317	28428317	ENSG00000075426.12	0	+	colon_sigmoid	11000
chr19	40765389	40771389	ENSG00000077312.9	0	+	colon_sigmoid	6000
chr2	216206303	216211303	ENSG00000079246.16	0	+	colon_sigmoid	5000
chr2	230313215	230316715	ENSG00000079263.19	0	+	colon_sigmoid	3500
chr1	40423326	40427326	ENSG00000084070.12	0	+	colon_sigmoid	4000
chr1	46036122	46039622	ENSG00000086015.22	0	+	colon_sigmoid	3500
chr19	48876058	48879058	ENSG00000087074.8	0	+	colon_sigmoid	3000
chr20	3876123	3882123	ENSG00000088888.18	0	+	colon_sigmoid	6000
chr12	111902222	111907222	ENSG00000089022.14	0	+	colon_sigmoid	5000
chr16	31191605	31196105	ENSG00000089280.19	0	+	colon_sigmoid	4500
chr14	102730561	102734061	ENSG00000089902.10	0	+	colon_sigmoid	3500
chr19	8262421	8266421	ENSG00000090661.12	0	+	colon_sigmoid	4000
chrX	68842160	68845660	ENSG00000090776.6	0	+	colon_sigmoid	3500
chr17	76781449	76785949	ENSG00000092931.11	0	+	colon_sigmoid	4500
chr19	1244825	1248325	ENSG00000099624.8	0	+	colon_sigmoid	3500
chr19	764318	767318	ENSG00000099812.9	0	+	colon_sigmoid	3000
chr22	20953747	20964747	ENSG00000099942.13	0	+	colon_sigmoid	11000
chr22	37776556	37780556	ENSG00000100106.22	0	+	colon_sigmoid	4000
chr22	35347992	35350992	ENSG00000100284.22	0	+	colon_sigmoid	3000
chr22	35425431	35454931	ENSG00000100297.16	0	+	colon_sigmoid	29500
